,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
0,1/2016,130.25873439567164,2681.701993984021,4.75,21.00758660210352,25.5513,0.0
1,1/2016,132.706046202052,2727.368256442746,4.66,21.013912103378797,25.5386,0.0
2,1/2016,134.87977466499146,2766.8549242220447,4.57,21.01918425223465,25.5318,0.0
3,1/2016,136.82938601418795,2801.26404882634,4.48,21.023573060014584,25.5297,0.0
4,1/2016,138.59506757198616,2831.494253454458,4.39,21.02721763330965,25.5314,0.0
5,1/2016,140.20905351320712,2858.269903137189,4.3,21.0302317597038,25.5362,0.0
6,1/2016,141.69766700469106,2882.183727386411,4.21,21.03270847672885,25.5435,0.0
7,1/2016,143.08262202047928,2903.7246780652467,4.12,21.03472381835225,25.5527,0.0
8,1/2016,144.3806518966462,2923.273583069621,4.03,21.036339874449048,25.5634,0.0
9,1/2016,145.6047563077836,2941.129452773004,3.94,21.037607279621653,25.5753,0.0
10,1/2016,146.7646317577736,2957.51974236399,3.85,21.03856723925712,25.588,0.0
11,1/2016,147.86704005328318,2972.608787030387,3.76,21.039253178041925,25.6013,0.0
12,1/2016,148.9175286333381,2986.534032968767,3.67,21.039692076423638,25.6148,0.0
13,1/2016,148.74109775639113,2974.323476619152,3.5325,21.03976109683917,25.6039,0.0
14,1/2016,148.4965698652574,2960.9347597626293,3.395,21.03945002995895,25.5908,0.0
15,1/2016,148.16462790754073,2946.0169550598453,3.2575000000000003,21.03874861765015,25.5752,0.0
16,1/2016,147.72436126089454,2929.1971010897787,3.12,21.037646107157304,25.5567,0.0
17,1/2016,147.14922109529368,2910.001870083398,2.9825,21.036130777496563,25.5348,0.0
18,1/2016,146.40782531747158,2887.8740318121404,2.845,21.034189430267244,25.5088,0.0
19,1/2016,145.4620415846683,2862.137437816763,2.7075,21.031806829012496,25.478,0.0
20,1/2016,144.26498785235384,2831.9605065216047,2.57,21.028965048800277,25.4414,0.0
21,1/2016,142.7598791446403,2796.334949686505,2.4325,21.02564271322543,25.3979,0.0
22,1/2016,140.87703884080432,2754.0198716216014,2.295,21.02181408601336,25.3459,0.0
23,1/2016,138.53133001526365,2703.492338999883,2.1575,21.017447972679136,25.2837,0.0
24,1/2016,135.6195356906054,2642.894610740098,2.02,21.01250639619215,25.2091,0.0
25,1/2016,138.7906051633993,2709.4732024908863,2.1425,21.007734874924303,25.2554,0.0
26,1/2016,141.1609119395773,2761.131125466869,2.265,21.00322806455736,25.294,0.0
27,1/2016,142.63072911108114,2796.1048830115037,2.3875,20.99904631398909,25.3211,0.0009536860109058
28,1/2016,143.09309997603944,2812.460646643275,2.51,20.99521839702936,25.3331,0.0047816029706382
29,1/2016,142.65074459021514,2812.2332724854978,2.635,20.991753097085272,25.33,0.0082469029147276
30,1/2016,141.37043052521574,2796.437981156173,2.76,20.98863153363056,25.3117,0.0113684663694435
31,1/2016,139.36733422024264,2767.110639783069,2.885,20.985819115091505,25.2789,0.0141808849084945
32,1/2016,136.75020379307145,2726.153025048865,3.01,20.983270409034024,25.2328,0.0167295909659763
33,1/2016,133.55924156741852,2674.0286782633657,3.1325,20.980925518719136,25.1732,0.0190744812808638
34,1/2016,129.9578662804525,2613.8192747659486,3.255,20.978727147152853,25.1027,0.0212728528471473
35,1/2016,126.04833533759393,2547.3275032801257,3.3775,20.976617456281573,25.0229,0.0233825437184265
36,1/2016,121.943005090918,2476.578547638261,3.5,20.97454059928693,24.9357,0.0254594007130712
37,1/2016,121.12626021774282,2476.037283805881,3.76,20.97286289290302,24.9139,0.0271371070969799
