,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
0,1/2016,168.95921027694172,3418.412512612909,4.75,21.00809581937296,26.2703,0.0
1,1/2016,166.93303199078557,3374.017666305704,4.66,21.015786983217048,26.2275,0.0
2,1/2016,164.78489951387482,3327.4289806423126,4.57,21.023076917849664,26.1823,0.0
3,1/2016,162.74492258076194,3282.959892363034,4.48,21.02996894769969,26.1389,0.0
4,1/2016,160.8262464714398,3240.8547535911403,4.39,21.036466611517334,26.0975,0.0
5,1/2016,158.99471386732137,3200.471011938641,4.3,21.04257362712511,26.0574,0.0
6,1/2016,157.22128687084765,3161.2625855453616,4.21,21.048293803204903,26.0183,0.0
7,1/2016,155.51480437560855,3123.393211879302,4.12,21.05363101004615,25.9803,0.0
8,1/2016,153.85912692087618,3086.558742093105,4.03,21.05858916740589,25.943,0.0
9,1/2016,152.24576287245216,3050.59859912949,3.94,21.063172210664668,25.9063,0.0
10,1/2016,150.6659870347945,3015.3481234189944,3.85,21.06738406767959,25.8702,0.0
11,1/2016,149.11071680868184,2980.6363154791256,3.76,21.071228635691497,25.8343,0.0
12,1/2016,147.54162187487762,2945.746274058311,3.67,21.074709720580472,25.7981,0.0
13,1/2016,144.80033299949406,2886.066013544457,3.5325,21.07770149615412,25.7379,0.0
14,1/2016,142.04795100034386,2826.373170427581,3.395,21.080206588926377,25.6773,0.0
15,1/2016,139.2756325003215,2766.502687561942,3.2575000000000003,21.08222754351314,25.6162,0.0
16,1/2016,136.47444764284538,2706.288251271952,3.12,21.0837668024103,25.5542,0.0
17,1/2016,133.62373103228987,2645.3451215993555,2.9825,21.08482667114505,25.4912,0.0
18,1/2016,130.75678481529891,2584.2948083530646,2.845,21.08540933961686,25.4276,0.0
19,1/2016,127.8877811956186,2523.401248564021,2.7075,21.08551694686341,25.3638,0.0
20,1/2016,124.97266502796192,2461.8436582934887,2.57,21.08515154364325,25.2989,0.0
21,1/2016,122.022698975133,2399.8323859770567,2.4325,21.08431505361317,25.2331,0.0
22,1/2016,119.08674724863234,2338.277122009405,2.295,21.08300935521301,25.1674,0.0
23,1/2016,116.07839338210208,2275.5691684936173,2.1575,21.081236233546985,25.1001,0.0
