,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
0,1/2016,118.9830589823639,1872.728386967296,4.75,21.08791677228734,36.3047,0.0
1,1/2016,168.8460550114215,2686.632711978468,4.66,21.141930335620792,35.7948,0.0
2,1/2016,202.8134296950116,3245.717333799,4.57,21.17108727127997,35.4848,0.0
3,1/2016,238.38044764149703,3821.915830820644,4.48,21.18233846201791,35.3274,0.0
4,1/2016,268.6494762432388,4302.22303418099,4.39,21.18100885047452,35.2867,0.0
5,1/2016,294.97361046814484,4707.488505071778,4.3,21.171165737508694,35.3354,0.0
6,1/2016,318.35005372150505,5054.0949325605325,4.21,21.15590585037483,35.4527,0.0
7,1/2016,339.51418512363506,5354.740486189238,4.12,21.13757801074381,35.6224,0.0
8,1/2016,358.9900141612996,5618.895166336147,4.03,21.11795510849886,35.8323,0.0
9,1/2016,377.2355465916421,5854.932800178175,3.94,21.09836637445874,36.0726,0.0
10,1/2016,394.5517866044877,6068.645920888005,3.85,21.079798632467348,36.3356,0.0
11,1/2016,411.1080590069169,6263.682775376389,3.76,21.062973343195363,36.615,0.0
12,1/2016,427.0124694310193,6442.69303328503,3.67,21.048404702885883,36.9054,0.0
13,1/2016,440.64787691975977,6579.430929097363,3.5325,21.0356169817661,37.174,0.0
14,1/2016,453.569521745448,6702.5907616116965,3.395,21.024727336001583,37.4386,0.0
15,1/2016,465.5989763477829,6810.878819450592,3.2575000000000003,21.01575820684125,37.6942,0.0
16,1/2016,476.4639687677555,6901.941642539381,3.12,21.008643146682765,37.9349,0.0
17,1/2016,485.7765610156351,6972.177049969102,2.9825,21.003226014042824,38.1535,0.0
18,1/2016,493.00297571708455,7016.439995826149,2.845,20.999253367549848,38.3408,0.0007466324501521
19,1/2016,497.5326192387771,7028.9131970227845,2.7075,20.99636283337738,38.4866,0.0036371666226209
20,1/2016,499.19984526477066,7009.212782531715,2.57,20.994086685379013,38.5853,0.0059133146209866
21,1/2016,497.9447769266404,6957.9425126263695,2.4325,20.991870409198143,38.6329,0.0081295908018574
22,1/2016,493.5326708018711,6873.301295389052,2.295,20.989084174113795,38.6235,0.0109158258862045
23,1/2016,485.7269561730948,6753.182363407546,2.1575,20.985025904783477,38.5509,0.0149740952165267
24,1/2016,474.5562831859439,6598.287241792037,2.02,20.978929925159647,38.4116,0.0210700748403525
25,1/2016,470.43166616517954,6569.909490414738,2.1425,20.974527875140737,38.3656,0.025472124859263
26,1/2016,464.3069369231041,6517.834492471148,2.265,20.971592498129585,38.2915,0.028407501870415
27,1/2016,457.0267128024848,6452.360588805825,2.3875,20.96983845521433,38.1956,0.030161544785674
28,1/2016,449.12754642452,6379.8799759627,2.51,20.968973799038896,38.0828,0.0310262009611044
29,1/2016,440.9845290648904,6305.113769932468,2.635,20.96876888234369,37.9578,0.0312311176563113
30,1/2016,432.5804698649096,6227.232162899326,2.76,20.968981556072126,37.8206,0.0312311176563113
31,1/2016,423.8267818066504,6144.905274401525,2.885,20.96938859133933,37.6705,0.0310184439278735
32,1/2016,414.5087977355855,6055.217320606944,3.01,20.969772046368885,37.5047,0.0306114086606648
33,1/2016,404.2413045063392,5952.716534866208,3.1325,20.96985775199964,37.3173,0.0302279536311154
34,1/2016,392.799119359642,5834.57490536092,3.255,20.969378503123878,37.1039,0.030621496876126
35,1/2016,379.9338283600619,5697.159952407144,3.3775,20.96802253232792,36.8589,0.0319774676720783
36,1/2016,365.587876663174,5539.144179561837,3.5,20.965429243906875,36.5785,0.0345707560931245
37,1/2016,354.7289041398525,5442.843666864923,3.76,20.96358990904815,36.343,0.0364100909518505
38,1/2016,343.0814841721424,5332.854674621922,4.02,20.962383267368438,36.0913,0.0376167326315659
39,1/2016,331.20110952313195,5216.56765868874,4.28,20.96165727056277,35.8284,0.0383427294372289
40,1/2016,319.5574495486929,5100.398345319319,4.54,20.961269009797338,35.5603,0.0387309902026622
41,1/2016,308.5866292546736,4990.543750729727,4.8,20.96111531249868,35.2939,0.0388846875013193
42,1/2016,298.74216277501847,4893.736420137866,5.0600000000000005,20.96115926485928,35.0378,0.0388846875013193
43,1/2016,290.53603767092227,4817.868713607676,5.32,20.961456722813097,34.8031,0.0388407351407238
44,1/2016,284.5593537753797,4772.299988213442,5.58,20.96218505990734,34.6034,0.0385432771869034
45,1/2016,281.4679128440997,4767.570992098192,5.84,20.963673694142543,34.455,0.0378149400926588
