,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
0,1/2016,67.83370619446474,1437.837984327491,4.75,21.006765471048556,24.3395,False,1966.6,0.0
1,1/2016,30.99437542126544,669.8704390616988,4.66,21.01027999648798,23.4415,,1966.6,0.0
2,1/2016,558.7285016987468,9745.730209564934,4.57,21.016520485840097,32.0966,,1966.6,0.0
3,1/2016,713.5731014449502,11685.443360104273,4.48,21.03183048751884,34.4994,,1966.6,0.0
4,1/2016,58.03684297943694,1204.4677515237363,4.39,21.049076861320064,24.8812,False,1966.6,0.0
5,1/2016,681.9244998045365,11168.298252508574,4.3,21.06815230608001,34.3238,,1966.6,0.0
6,1/2016,8.946414781634322,188.2347696480525,4.21,21.08754097604379,24.1421,,1966.6,0.0
7,1/2016,20.99107323418335,442.0404862212043,4.12,21.100664870611137,24.0214,,1966.6,0.0
8,1/2016,516.8202517798513,8923.503614057267,4.03,21.11417502385869,31.9864,False,1966.6,0.0
9,1/2016,10.897283488211642,229.2709646999776,3.94,21.12738239299345,23.89,,1966.6,0.0
10,1/2016,535.2857225644908,9140.705497647108,3.85,21.14090410266814,32.2514,,1966.6,0.0
11,1/2016,72.22603545518635,1467.568111025525,3.76,21.154996340235463,25.162,,1966.6,0.0
12,1/2016,30.660572578801567,637.5892890837828,3.67,21.16433443109339,24.1201,False,1966.6,0.0
13,1/2016,749.7902148086788,11896.359644181935,3.5325,21.17639254071304,34.8246,,1966.6,0.0
14,1/2016,93.17906840498212,1855.082791399136,3.395,21.190912069700417,25.6537,,1966.6,0.0
15,1/2016,109.88021461434305,2175.438646389027,3.2575000000000003,21.201592639660376,25.7506,,1966.6,0.0
16,1/2016,120.536705254447,2376.743720393568,3.12,21.20928161467925,25.7856,False,1966.6,0.0
17,1/2016,-2.124552747657236,-44.35615475035421,2.9825,21.212898060436206,23.3036,,1966.6,0.0
18,1/2016,44.97865760512429,921.40158823052,2.845,21.212168611165957,23.9575,,1966.6,0.0
19,1/2016,24.801761908330388,513.5520900542087,2.7075,21.208009644255508,23.3834,,1966.6,0.0
20,1/2016,666.1578367938896,10763.266529725826,2.57,21.20740330873135,33.1837,False,1966.6,0.0
21,1/2016,7.140896712062252,146.70696648935797,2.4325,21.208979721684035,23.4442,,1966.6,0.0
22,1/2016,-2.818457512628012,-58.37607478018589,2.295,21.205789134521957,22.9775,,1966.6,0.0
23,1/2016,81.21291919692082,1620.9807146723674,2.1575,21.19947923725229,24.3663,,1966.6,0.0
24,1/2016,293.8441588180295,5354.045417031799,2.02,21.19395259985022,27.9146,False,1966.6,0.0
25,1/2016,221.391956239193,4145.912914664092,2.1425,21.191212740773715,26.9364,,1966.6,0.0
26,1/2016,-3.5363408901863407,-73.31949085104536,2.265,21.187369523743875,22.9067,,1966.6,0.0
27,1/2016,9.681716224911977,201.18469082023995,2.3875,21.180253775293195,22.931,,1966.6,0.0
28,1/2016,10.518475586842206,220.10816554140465,2.51,21.17057921375087,22.7581,False,1966.6,0.0
29,1/2016,1.4629957885970997,30.96229057429321,2.635,21.15866836948066,22.4082,,1966.6,0.0
30,1/2016,719.1204360071888,11557.83036640789,2.76,21.152462808582527,33.5741,,1966.6,0.0
31,1/2016,4.4562681148116265,93.43255173069116,2.885,21.150576606796303,23.0351,,1966.6,0.0
32,1/2016,747.301722893304,11870.075225153803,3.01,21.153169424909517,34.2752,False,1966.6,0.0
33,1/2016,752.4481122107197,11801.706775567862,3.1325,21.166707133187707,34.8846,,1966.6,0.0
34,1/2016,5.999950158016143,123.67679483824811,3.255,21.181846011899648,24.0911,,1966.6,0.0
35,1/2016,25.752815066093618,531.8736323852141,3.3775,21.19157197074425,24.1271,,1966.6,0.0
36,1/2016,-2.2250250326436816,-47.03069787889615,3.5,21.196598669559656,23.2816,True,1966.6,0.0
37,1/2016,15.807479565945242,335.4075626591456,3.76,21.19794082391393,23.3674,,1966.6,0.0
38,1/2016,35.46893609182093,753.6243985976116,4.02,21.19674864332018,23.555,,1966.6,0.0
39,1/2016,724.2811468005407,11882.828516439124,4.28,21.2010924824618,34.2359,,1966.6,0.0
40,1/2016,15.589882854587016,334.1620083659419,4.54,21.20936469740316,23.6763,False,1966.6,0.0
41,1/2016,112.41211269418078,2327.7061385883835,4.8,21.21538063794552,25.3585,,1966.6,0.0
42,1/2016,43.76645140320724,943.2268858357876,5.0600000000000005,21.219862978249253,23.9336,,1966.6,0.0
43,1/2016,500.66035003886617,8997.811911542982,5.32,21.22760903137984,31.6123,,1966.6,0.0
44,1/2016,26.60169391482822,580.8486947882496,5.58,21.237551285803377,23.8661,False,1966.6,0.0
45,1/2016,322.40889856110044,6234.027534192499,5.84,21.24807820150915,29.1439,,1966.6,0.0
46,1/2016,45.48526104406777,995.1958008158676,6.1,21.259162273745176,24.2602,,1966.6,0.0
47,1/2016,16.00205149512412,358.9441916455745,6.36,21.26721067881913,23.4443,,1966.6,0.0
48,1/2016,63.63815707982003,1408.503749617401,6.62,21.273073387834582,24.2505,False,1966.6,0.0
49,1/2016,132.22223312392782,2833.2227591317105,6.5275,21.2777965973286,25.531,,1966.6,0.0
50,1/2016,682.3387826702644,11779.439835666886,6.4350000000000005,21.288284145366607,34.2562,,1966.6,0.0
