,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
0,1/2016,736.1217703871215,12103.79080572425,4.75,21.00870015849485,34.5969,False,1966.6,0.0
1,1/2016,719.5512057963142,11855.570667158272,4.66,21.01816137855301,34.4311,,1966.6,0.0
2,1/2016,746.5831918294311,12161.217423104126,4.57,21.028358604367007,34.7933,,1966.6,0.0
3,1/2016,-3.9841590768847994,-86.41847757159566,4.48,21.03843209247737,23.1223,,1966.6,0.0
4,1/2016,78.08294499396051,1626.3276218957933,4.39,21.047661118514718,24.7321,False,1966.6,0.0
5,1/2016,12.246755307433702,262.77889673997754,4.3,21.05609263621568,23.4076,,1966.6,0.0
6,1/2016,150.88863746675702,3032.6992840567877,4.21,21.063848664082272,26.035,,1966.6,0.0
7,1/2016,671.9065814201435,11110.606529935609,4.12,21.0717000523746,33.7747,,1966.6,0.0
8,1/2016,74.77884949963439,1547.2002388942458,4.03,21.079528465304417,24.669,False,1966.6,0.0
9,1/2016,360.475427139014,6609.782329633647,3.94,21.08702713361065,29.5052,,1966.6,0.0
10,1/2016,35.317193328081466,741.2900136369701,3.85,21.09414220434644,23.9037,,1966.6,0.0
11,1/2016,274.44589720559526,5183.971470183542,3.76,21.10078928878633,28.139,,1966.6,0.0
12,1/2016,0.8634828752669533,18.35805671706848,3.67,21.10692557164429,23.1997,False,1966.6,0.0
13,1/2016,347.9974968996804,6359.898335681536,3.5325,21.11252351305904,29.2497,,1966.6,0.0
14,1/2016,306.5505215967122,5673.2045095302765,3.395,21.1179827688435,28.6149,,1966.6,0.0
15,1/2016,735.4585195660976,11710.59864921731,3.2575000000000003,21.123675377991223,34.4201,,1966.6,0.0
16,1/2016,6.4038916243965405,133.84565363840642,3.12,21.129196548408363,23.3891,False,1966.6,0.0
17,1/2016,2.643954730181921,55.22642121914951,2.9825,21.13374684686689,23.2839,,1966.6,0.0
18,1/2016,98.65767770741986,1966.248593982096,2.845,21.137480754859475,25.0861,,1966.6,0.0
19,1/2016,56.014807439757625,1135.0184223804026,2.7075,21.140493293111685,24.2757,,1966.6,0.0
20,1/2016,52.18722937612665,1056.5334187291987,2.57,21.142740607849397,24.1802,False,1966.6,0.0
21,1/2016,26.847758177772985,548.52627518657,2.4325,21.144202089079283,23.6727,,1966.6,0.0
22,1/2016,661.8483409039962,10593.98806752039,2.295,21.14556272797541,33.279,,1966.6,0.0
23,1/2016,-0.4471810053082029,-9.188802716322542,2.1575,21.14677176951317,23.1733,,1966.6,0.0
24,1/2016,341.3004903868816,6057.4158042824665,2.02,21.147523686791995,28.9602,False,1966.6,0.0
25,1/2016,0.5537681823324255,11.37180332515883,2.1425,21.148523248323283,23.1849,,1966.6,0.0
26,1/2016,58.33427598600718,1170.1247885932066,2.265,21.14943278271917,24.2666,,1966.6,0.0
27,1/2016,53.64498453207896,1081.8886554391104,2.3875,21.15033337674396,24.1628,,1966.6,0.0
28,1/2016,9.5350153142545,196.9568586823469,2.51,21.1511624367795,23.2949,False,1966.6,0.0
29,1/2016,57.70814556842058,1169.4950637466864,2.635,21.15194078461913,24.2006,,1966.6,0.0
30,1/2016,5.529767710740743,115.2273908341836,2.76,21.15266830523614,23.1717,,1966.6,0.0
31,1/2016,71.29725585845098,1445.5532423436905,2.885,21.15337178479809,24.4204,,1966.6,0.0
32,1/2016,23.45546033683229,487.84508731727846,3.01,21.15408148115476,23.4871,False,1966.6,0.0
33,1/2016,-0.6556212889054849,-13.841418681145637,3.1325,21.154694698644644,22.9832,,1966.6,0.0
34,1/2016,45.65080487542544,945.8955620446724,3.255,21.155251773452637,23.8765,,1966.6,0.0
35,1/2016,151.95955383607273,3010.5396760780477,3.3775,21.15596883520006,25.8376,,1966.6,0.0
36,1/2016,184.92211843306765,3621.746534017047,3.5,21.157029457027683,26.4228,True,1966.6,0.0
37,1/2016,530.8558500228517,9163.267198165067,3.76,21.159224308396222,31.7397,,1966.6,0.0
38,1/2016,268.5230793865916,5130.321776726151,4.02,21.162625045368717,27.9238,,1966.6,0.0
39,1/2016,8.633690410300847,186.0927342442208,4.28,21.16658068633568,23.1995,,1966.6,0.0
40,1/2016,71.93119607004627,1513.6209750264366,4.54,21.170835859441528,24.4469,False,1966.6,0.0
41,1/2016,115.27840627984934,2391.8641205191234,4.8,21.17554269374017,25.2751,,1966.6,0.0
42,1/2016,10.900748149571092,239.0307286912092,5.0600000000000005,21.180606486411328,23.2049,,1966.6,0.0
43,1/2016,16.7676707646539,368.9095395653747,5.32,21.18588659814276,23.3054,,1966.6,0.0
44,1/2016,195.25453628993955,3979.246391210577,5.58,21.19164586702039,26.7444,False,1966.6,0.0
45,1/2016,97.84994668103528,2094.352402797921,5.84,21.197994687770503,24.9451,,1966.6,0.0
46,1/2016,314.2312060962953,6158.443499146758,6.1,21.20507673824433,28.8339,,1966.6,0.0
47,1/2016,185.4398791578301,3854.195631072532,6.36,21.21299583266881,26.6511,,1966.6,0.0
48,1/2016,90.77972000118454,1980.4040920260095,6.62,21.22144536009894,24.8613,False,1966.6,0.0
49,1/2016,232.2974253587637,4747.282408025383,6.5275,21.229533117850444,27.5055,,1966.6,0.0
50,1/2016,227.5138599626696,4648.921462347105,6.4350000000000005,21.237450245531605,27.4257,,1966.6,0.0
51,1/2016,-0.345112320306166,-7.824145881779847,6.3425,21.244867736421096,22.9747,,1966.6,0.0
52,1/2016,316.31100665495103,6208.752439120505,6.25,21.251911522387235,28.9096,False,1966.6,0.0
53,1/2016,207.23056842849817,4246.226292169136,6.1575,21.25888010616545,27.0551,,1966.6,0.0
54,1/2016,177.47586005437785,3676.2746069601335,6.065,21.2655978427233,26.5191,,1966.6,0.0
55,1/2016,260.64390784308137,5199.999701252524,5.9725,21.272136178601222,27.9855,,1966.6,0.0
56,1/2016,270.6028862204073,5364.404956304675,5.88,21.278613216407987,28.1615,False,1966.6,0.0
57,1/2016,244.59718777947413,4890.278465629483,5.7875,21.285005436152478,27.7264,,1966.6,0.0
58,1/2016,128.53465214109087,2697.1483480563343,5.695,21.29112667789763,25.639,,1966.6,0.0
59,1/2016,212.3720198546941,4286.876877363131,5.6025,21.296942330236007,27.1602,,1966.6,0.0
60,1/2016,162.16104060849992,3338.3805198439927,5.51,21.302501831200736,26.2611,False,1966.6,0.0
61,1/2016,8.765991637478477,193.1462673164595,5.324999999999999,21.307277143857405,23.2479,,1966.6,0.0
62,1/2016,-5.354794209021802,-118.40718100815914,5.14,21.311049631897184,22.9254,,1966.6,0.0
63,1/2016,192.62223483072168,3872.3094446874857,4.955,21.31410177957822,26.7256,,1966.6,0.0
64,1/2016,94.37283537238412,1973.9118965886896,4.77,21.316591980825304,24.913,False,1966.6,0.0
65,1/2016,727.6353749434602,11954.796759120054,4.5875,21.31910268243989,34.4735,,1966.6,0.0
66,1/2016,239.47921202284056,4658.722357312481,4.404999999999999,21.32180298660073,27.5542,,1966.6,0.0
67,1/2016,223.6198923130174,4360.908659729603,4.2225,21.32415816821815,27.2819,,1966.6,0.0
68,1/2016,0.4801050767626859,10.312046005810856,4.04,21.325849380723508,23.1213,False,1966.6,0.0
69,1/2016,90.6037446727728,1858.339012668888,3.8575,21.32672176748616,24.8672,,1966.6,0.0
70,1/2016,166.2406338668788,3285.008171335349,3.675,21.3270215974656,26.2252,,1966.6,0.0
71,1/2016,217.11327383893783,4182.528909621413,3.4925,21.326921217232226,27.0878,,1966.6,0.0
72,1/2016,3.556827236342031,75.07750686387799,3.31,21.326202636168283,23.1592,False,1966.6,0.0
73,1/2016,156.6520313825637,3074.5976810163274,3.1575,21.32488708206553,26.0102,,1966.6,0.0
74,1/2016,-3.7931122850163126,-79.84104257556112,3.005,21.32297487191664,22.9863,,1966.6,0.0
75,1/2016,120.07772280503131,2379.987627333345,2.8525,21.320434844160108,25.3187,,1966.6,0.0
76,1/2016,421.1680794876205,7382.878294622749,2.7,21.31779900026943,30.1102,False,1966.6,0.0
77,1/2016,699.4222606091315,11132.653812036831,2.545,21.315662076476364,33.7417,,1966.6,0.0
78,1/2016,305.4525163554882,5541.08561312911,2.39,21.31386960153728,28.4487,,1966.6,0.0
79,1/2016,88.1165531589893,1742.252163749802,2.2350000000000003,21.311756207468814,24.8262,,1966.6,0.0
80,1/2016,4.776805820602021,97.82529294264516,2.08,21.30895163016133,23.2376,False,1966.6,0.0
81,1/2016,3.6339248377564384,74.24248442155267,1.9275,21.30536531686957,23.1892,,1966.6,0.0
82,1/2016,271.1817298066956,4924.1737987410725,1.775,21.30135346021041,27.8136,,1966.6,0.0
83,1/2016,0.3671684491860708,7.461437667199469,1.6225,21.29691506239778,23.1147,,1966.6,0.0
84,1/2016,3.7369382044112074,75.59584676660181,1.47,21.29172605867224,23.1539,False,1966.6,0.0
85,1/2016,121.41266149067587,2329.522380748137,1.4525,21.286330467682408,25.2895,,1966.6,0.0
86,1/2016,3.099778772299454,62.72172388626416,1.435,21.2807316000442,23.1101,,1966.6,0.0
87,1/2016,54.26946901800134,1072.5945756217068,1.4175,21.27485055543843,24.0532,,1966.6,0.0
88,1/2016,198.7890339963441,3691.9123300593287,1.4,21.268947858283404,26.5482,False,1966.6,0.0
89,1/2016,91.23588397392864,1772.6433613164995,1.3824999999999998,21.263069908526298,24.7136,,1966.6,0.0
90,1/2016,6.024497903859233,121.6697559409645,1.365,21.25696887575316,23.1202,,1966.6,0.0
91,1/2016,2.1510024107069623,43.528559924775536,1.3475,21.25053308022995,23.0211,,1966.6,0.0
92,1/2016,48.11619898254255,953.3112388877802,1.33,21.243831219086047,23.8686,False,1966.6,0.0
93,1/2016,787.0087291190305,11937.720209231851,1.31,21.237691762442488,34.3826,,1966.6,0.0
94,1/2016,575.2978799133983,9295.739104112978,1.29,21.232665045383225,31.9249,,1966.6,0.0
95,1/2016,3.8543195290997607,77.63085384490478,1.27,21.22789066589187,23.139,,1966.6,0.0
96,1/2016,5.680579816901013,114.3339457144835,1.25,21.222729818106423,23.1482,False,1966.6,0.0
97,1/2016,60.095060807574974,1184.0391746876553,1.385,21.217688756075564,24.1485,,1966.6,0.0
98,1/2016,54.6494756819103,1083.207581246569,1.52,21.212835292130336,24.0357,,1966.6,0.0
99,1/2016,96.1925083071622,1878.0417960857624,1.655,21.208216996464177,24.7809,,1966.6,0.0
100,1/2016,788.6367434642389,12063.461599394595,1.79,21.204594697365344,34.5357,False,1966.6,0.0
101,1/2016,0.5101605142126621,10.456097080816566,1.925,21.201800519312503,23.0555,,1966.6,0.0
102,1/2016,2.7508200212599414,56.53374975029044,2.06,21.19898858415193,23.073,,1966.6,0.0
103,1/2016,348.8741954671786,6219.122599128781,2.1950000000000003,21.196596843338348,28.9556,,1966.6,0.0
104,1/2016,7.77551306405942,160.41801438567842,2.33,21.194617757927656,23.1726,False,1966.6,0.0
105,1/2016,688.3324829493324,10993.06604733322,2.465,21.19338101845558,33.5329,,1966.6,0.0
106,1/2016,689.6649366727092,11024.565236311482,2.6,21.193612403412253,33.6287,,1966.6,0.0
107,1/2016,-2.9148512826847286,-60.85899336254404,2.7350000000000003,21.194498920773068,23.0659,,1966.6,0.0
108,1/2016,4.530008742176196,94.600070826682,2.87,21.195274304293616,23.1865,False,1966.6,0.0
