,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
0,1/2016,695.8381940037772,11429.326168749416,4.75,20.84672407408367,34.6384,False,682.75,0.1532759259163292
1,1/2016,718.0910762908243,11214.313172639362,4.66,20.74610496174202,36.523,,682.75,0.2538950382579799
2,1/2016,767.7128409285486,11377.509545098968,4.57,20.689539935795267,38.4639,,682.75,0.310460064204733
3,1/2016,804.2592598654218,11407.271824978729,4.48,20.670258082553595,40.0648,,682.75,0.3297419174464053
4,1/2016,859.0124031242501,11651.924080453013,4.39,20.682784605669447,41.6857,False,682.75,0.329967926828278
5,1/2016,305.40506280870073,4803.3810784865045,4.3,20.7033708565002,35.9033,,682.75,0.3172153943305531
6,1/2016,287.9528181901061,4583.446891028656,4.21,20.71352353651037,35.3511,,682.75,0.2966291434998034
7,1/2016,524.5918462223773,7741.512973277265,4.12,20.72276613562217,38.1943,,682.75,0.2864764634896275
8,1/2016,885.7918189656609,11623.629527115889,4.03,20.7493393181579,42.5982,False,682.75,0.2772338643778305
9,1/2016,621.0438569675982,8582.935728634207,3.94,20.79100736746115,40.5346,,682.75,0.2506606818420991
10,1/2016,283.9801314057777,4336.663996299327,3.85,20.826126765960964,36.6134,,682.75,0.2089926325388482
11,1/2016,642.6228631092492,8831.892093297578,3.76,20.85774666208055,40.5715,,682.75,0.1738732340390356
12,1/2016,234.74408728095568,3645.19097135838,3.67,20.88265466734131,35.7928,False,682.75,0.142253337919449
13,1/2016,205.60504121563,3269.5245588619714,3.5325,20.88780886161749,34.7371,,682.75,0.1173453326586901
14,1/2016,888.0290039535216,11497.7809116701,3.395,20.89789978977057,42.4836,,682.75,0.1125084237978946
15,1/2016,923.9316014128271,11555.879465903796,3.2575000000000003,20.931538188144906,43.6602,,682.75,0.1021002102294303
16,1/2016,275.1815464325123,4082.8491274304833,3.12,20.96410176839444,37.016,False,682.75,0.0684618118550979
17,1/2016,129.04437383269487,2054.355422183228,2.9825,20.971775031709043,34.1609,,682.75,0.0358982316055609
18,1/2016,924.3140838182002,11627.260418128571,2.845,20.979896324190022,43.0312,,682.75,0.0287173914901508
19,1/2016,199.9639194752423,3062.297854599908,2.7075,20.98756350063124,35.3938,,682.75,0.0201036758099775
20,1/2016,946.4380788374938,11701.36379721476,2.57,20.99797614611668,43.4104,False,682.75,0.0126797160994449
21,1/2016,359.87077530657604,5143.976501702322,2.4325,21.012779020280423,37.7681,,682.75,0.0020238538833226
22,1/2016,957.732828685457,11584.803003074749,2.295,21.03309640718023,43.9602,,682.75,0.0
23,1/2016,167.74396560395098,2521.9511466209274,2.1575,21.047816974955428,35.5629,,682.75,0.0
24,1/2016,970.6467235651936,11652.2195788644,2.02,21.061180476848083,43.9679,False,682.75,0.0
25,1/2016,80.47463052942418,1252.1857088836466,2.1425,21.070227597276123,34.2253,,682.75,0.0
