#{"t_start": 1649256020.192117, "env_id": null}
r,l,t
-32303.664538,2880,10.119089
-36410.776243,2880,20.219908
-25322.436167,2880,32.062196
-16342.428446,2880,42.16193
-18572.248511,2880,53.98851
-21032.256863,2880,64.089275
-35429.840381,2880,93.456221
-29732.884552,2880,105.285086
-17190.85524,2880,115.376822
-11681.744426,2880,127.211652
-17318.559791,2880,137.294483
-10292.047597,2880,147.396281
-18558.401275,2880,159.226179
-28327.207016,2880,188.519451
-9888.489958,2880,200.350743
-16519.332632,2880,210.444416
-9737.079939,2880,220.524962
-18257.805193,2880,232.35912
-30262.806246,2880,242.464995
-15530.52664,2880,254.296653
-30707.79461,2880,283.597182
-11305.134587,2880,293.696201
-36312.625194,2880,305.534048
-12687.361507,2880,315.629342
-21840.803082,2880,327.458842
-26052.392212,2880,337.554597
-18269.096001,2880,347.654316
-7636.671305,2880,378.67894
-14057.847973,2880,388.774266
-5068.715626,2880,400.600196
-17204.977173,2880,410.694617
-17928.590519,2880,420.79529
-24712.483462,2880,432.630506
-12895.387151,2880,442.731474
-8290.636545,2880,473.784678
-31784.88182,2880,483.890122
-21206.830982,2880,495.711617
-18383.241016,2880,505.79633
-23226.277285,2880,515.895557
-30453.014528,2880,527.738866
-8574.755464,2880,537.826605
-31768.697284,2880,568.849465
-35829.435336,2880,578.944703
-21559.97965,2880,589.030711
-14072.531786,2880,600.849586
-25762.209689,2880,610.929157
-22297.043781,2880,622.757102
-9165.356,2880,632.846382
-30589.97022,2880,662.135126
-15925.310404,2880,673.982048
-21739.610767,2880,684.069483
-17400.919647,2880,695.891637
-25666.084269,2880,705.97672
-26021.993238,2880,716.077763
-19497.55894,2880,727.903017
-32871.2957,2880,757.199318
-16455.885178,2880,769.040973
-23024.93112,2880,779.137307
-18795.428815,2880,789.224735
-23838.269474,2880,801.05833
-30269.38976,2880,811.158396
-22059.263968,2880,822.986293
-32273.091323,2880,852.257722
-5959.973878,2880,862.35345
-24723.595009,2880,874.18222
-18480.115564,2880,884.275315
-26126.728968,2880,896.156299
-18436.437966,2880,906.25526
-12668.963834,2880,918.095312
