,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,2.8614702,0.0,4.75,21.005857902620033,23.0,0.0,0.0,23.86
1,1/2016,0.0,216.54015,4.332085132598877,4.66,21.01016880594616,26.884418,-0.0036489957,-0.21654014,23.4925
2,1/2016,0.0,297.64374,5.74838550388813,4.57,21.016625558113795,28.339897,-0.0050157015,-0.29764375,23.125
3,1/2016,0.0,38.726982,0.7775176763534546,4.4799999999999995,21.022500347954427,23.778934,-0.00065260223,-0.03872698,22.7575
4,1/2016,0.0,516.67664,9.189615726470947,4.39,21.030337131208192,31.622858,-0.008706704,-0.51667666,22.39
5,1/2016,0.0,3.274134,0.0,4.3,21.038867037716194,23.287712,0.0,0.0,21.94
6,1/2016,0.0,301.19147,5.743263602256775,4.21,21.046202724144244,28.488873,-0.0050754854,-0.30119148,21.490000000000002
7,1/2016,0.0,297.5326,5.643665134906769,4.12,21.05584206557311,28.571667,-0.005013828,-0.2975326,21.04
8,1/2016,0.0,70.29455,1.4086636304855347,4.03,21.064606992105993,24.668499,-0.0011845587,-0.07029455,20.59
9,1/2016,0.0,21.625666,0.4014580249786377,3.9400000000000004,21.069415841712676,23.516481,-0.00036442187,-0.021625666,19.645
10,1/2016,0.0,2.6654022,0.0,3.85,21.069956577328526,22.89359,0.0,0.0,18.7
11,1/2016,0.0,665.6852,11.179352760314941,3.76,21.07383240097845,33.351395,-0.011217699,-0.6656852,17.755
12,1/2016,0.0,3.2652535,0.0,3.67,21.07993257784566,23.291132,0.0,0.0,16.81
13,1/2016,0.0,343.9674,6.366150766611099,3.5324999999999998,21.085236328412105,29.093271,-0.0057963184,-0.3439674,16.96
14,1/2016,0.0,399.27182,7.18216860294342,3.395,21.094131684349577,30.103033,-0.0067282724,-0.39927182,17.11
15,1/2016,0.0,228.35295,4.320411801338196,3.2575000000000003,21.104670490260485,27.62675,-0.0038480575,-0.22835295,17.259999999999998
16,1/2016,0.0,3.593596,0.0,3.12,21.11205404727698,23.506756,0.0,0.0,17.41
17,1/2016,0.0,3.1148453,0.0,2.9825,21.11412175916569,23.194357,0.0,0.0,17.3125
18,1/2016,0.0,92.19762,1.8317856788635254,2.8449999999999998,21.112793344673957,24.675737,-0.0015536551,-0.09219762,17.215
19,1/2016,0.0,103.40782,2.0520862340927124,2.7075,21.10975410049777,24.788628,-0.0017425623,-0.10340782,17.1175
20,1/2016,0.0,209.89053,4.0253546833992,2.57,21.106618681809046,26.607641,-0.0035369406,-0.20989053,17.02
21,1/2016,0.0,423.72162,7.48007208108902,2.4325,21.106768990751306,30.001059,-0.007140285,-0.4237216,16.73
22,1/2016,0.0,272.67142,5.019461542367935,2.295,21.110136698032903,27.983582,-0.004594884,-0.27267143,16.439999999999998
23,1/2016,0.0,350.8053,6.2447958290576935,2.1574999999999998,21.11552819769843,29.263662,-0.0059115463,-0.3508053,16.15
24,1/2016,0.0,3.6233938,0.0,2.02,21.119277785438555,23.475769,0.0,0.0,15.86
25,1/2016,0.0,617.8111,10.085608005523682,2.1425,21.12509495263035,32.817566,-0.010410956,-0.6178111,16.435
26,1/2016,0.0,35.81519,0.650583028793335,2.2649999999999997,21.13260827524364,24.28358,-0.00060353463,-0.03581519,17.009999999999998
27,1/2016,0.0,3.4175072,0.0,2.3874999999999997,21.135566967216164,23.380287,0.0,0.0,17.585
28,1/2016,0.0,2.9512875,0.0,2.51,21.13429475709506,23.087702,0.0,0.0,18.16
29,1/2016,0.0,94.75566,1.880277156829834,2.635,21.130682392475354,24.632204,-0.0015967618,-0.094755664,18.052500000000002
