#{"t_start": 1648809734.33197, "env_id": null}
r,l,t
-8401.062388,2880,10.325118
-8872.451943,2880,20.633955
-5176.282155,2880,32.70473
-4392.058911,2880,43.016649
-9166.185613,2880,55.088476
-3130.161027,2880,65.405427
-1945.29475,2880,95.359294
-9478.794031,2880,107.428815
-8211.657554,2880,117.741801
-4252.527678,2880,129.818329
-1143.572551,2880,140.128403
-1840.827176,2880,150.439344
-7164.803467,2880,162.51214
-6517.752803,2880,192.448818
-8298.757553,2880,204.513514
-6340.465304,2880,214.826483
-3188.498188,2880,225.139324
-4899.343499,2880,237.218594
-1399.382744,2880,247.521075
-3946.011769,2880,259.590186
-3623.326903,2880,289.517164
-6267.853973,2880,299.823128
-6577.833507,2880,311.89019
-2042.829079,2880,322.198031
-4040.15415,2880,334.253957
-1332.399,2880,344.554906
-3940.298734,2880,354.853168
-1124.429301,2880,386.596105
-6121.95886,2880,396.905992
-6408.807711,2880,408.966439
-2101.253014,2880,419.272311
-4065.024877,2880,429.578633
-726.069124,2880,441.641212
-3708.097778,2880,451.951581
-1098.978807,2880,483.654591
-5664.185593,2880,493.942759
-3940.483538,2880,505.986453
-3771.686683,2880,516.270519
-671.393876,2880,526.553186
-1196.239785,2880,538.604601
-1068.356161,2880,548.892358
-3193.7952,2880,580.536412
-5647.067419,2880,590.827858
-3912.16499,2880,601.12145
-1875.821185,2880,613.168095
-572.38313,2880,623.456484
-1205.937206,2880,635.498594
-1030.156643,2880,645.796891
-2917.766166,2880,675.708112
-5131.729604,2880,687.76256
-3504.834766,2880,698.061321
-1757.604131,2880,710.116685
-553.261198,2880,720.406524
-1128.68131,2880,730.696545
-3240.451719,2880,742.743277
-2985.424049,2880,772.638247
-5182.310281,2880,784.694244
-3546.101764,2880,794.989581
-1743.44484,2880,805.27135
-3279.321113,2880,817.318095
-1089.22011,2880,827.603781
-3158.832719,2880,839.646927
-2849.616084,2880,869.54759
-5166.477283,2880,879.850777
-3468.281464,2880,891.917107
-3256.822989,2880,902.219242
-520.635611,2880,914.274596
-2972.036655,2880,924.571284
-970.063724,2880,936.618582
-1694.59477,2880,966.527745
-5011.314947,2880,976.830386
-3381.856298,2880,988.889424
-3215.929164,2880,999.184957
-519.38915,2880,1011.23683
-3020.350789,2880,1021.540278
-965.400021,2880,1031.833331
-2721.050732,2880,1063.496249
-4935.640433,2880,1073.785832
-3295.271059,2880,1085.852835
-3107.71865,2880,1096.14736
-503.408285,2880,1106.448997
-1049.550317,2880,1118.499162
-954.795698,2880,1128.794965
-2594.095509,2880,1160.467114
-4750.319064,2880,1170.76462
-3111.598294,2880,1181.06242
-1621.326144,2880,1193.114183
-499.715335,2880,1203.407791
-1042.340797,2880,1215.458924
-948.198706,2880,1225.759106
-2607.543546,2880,1255.68255
-4736.418986,2880,1267.733046
-1607.628323,2880,1278.03278
-2892.515726,2880,1290.089038
-1029.970874,2880,1300.386423
-2817.599672,2880,1310.674496
-932.360721,2880,1322.717631
-1597.872842,2880,1352.633754
-4737.230663,2880,1364.689471
-1613.329627,2880,1374.978889
-2920.483186,2880,1387.034789
-1020.284158,2880,1397.332677
-2779.89501,2880,1407.633388
-931.187055,2880,1419.687697
-1569.020076,2880,1449.649781
-4615.313084,2880,1461.707235
-1591.78437,2880,1472.005327
-2860.088633,2880,1482.310007
-470.656254,2880,1494.354166
-2737.726828,2880,1504.652353
-923.500997,2880,1516.705077
-1552.580609,2880,1546.612604
-4600.373399,2880,1556.907558
-2987.503539,2880,1568.960287
-2833.51547,2880,1579.260974
-480.718901,2880,1591.318827
-2716.139246,2880,1601.613855
-936.00886,2880,1611.899698
-2469.066408,2880,1643.577431
-2932.645341,2880,1653.877889
-1576.325539,2880,1665.931487
-475.298467,2880,1676.215352
-1012.459387,2880,1686.507408
-2725.457302,2880,1698.56747
-2490.093024,2880,1728.481221
-4557.503763,2880,1740.531845
-2975.689742,2880,1750.83013
-1575.40725,2880,1761.123822
-2809.689583,2880,1773.181981
-1018.295699,2880,1783.477725
-2693.599195,2880,1795.525558
-2455.166469,2880,1825.436515
-4487.155874,2880,1837.494672
-2911.61653,2880,1847.784225
-1563.982409,2880,1858.083433
-2785.881537,2880,1870.145075
-1000.001565,2880,1880.452582
-2679.503248,2880,1892.558709
-2458.581658,2880,1922.462687
-4537.696066,2880,1932.764673
-4572.641436,2880,1944.832151
-1564.946302,2880,1955.135155
-2785.502472,2880,1967.214161
-1028.237557,2880,1977.516388
-2685.101853,2880,1987.826519
-938.274478,2880,2019.524431
-4665.833653,2880,2029.832368
-4724.29667,2880,2041.902664
-1573.149148,2880,2052.211515
-2856.110222,2880,2062.513457
-499.119004,2880,2074.587455
-2729.41873,2880,2084.895809
-939.801804,2880,2116.580928
-4826.488787,2880,2126.882225
-2953.934938,2880,2137.18241
-1572.184408,2880,2149.257307
-482.996398,2880,2159.561931
-1014.33973,2880,2171.622042
-926.316331,2880,2181.925987
-2482.315066,2880,2211.878327
-4727.321521,2880,2223.953859
-2929.421031,2880,2234.262391
-1550.085077,2880,2246.337513
-460.150852,2880,2256.64926
-1000.155561,2880,2268.707412
-913.380567,2880,2279.007456
-2494.067538,2880,2308.945689
-4959.302813,2880,2321.016432
-2981.118974,2880,2331.326441
-1570.400148,2880,2343.381141
-478.675394,2880,2353.682076
-1014.534766,2880,2363.9886
-2731.163916,2880,2376.06137
-2488.263624,2880,2406.024631
-4859.084438,2880,2418.091774
-2993.266249,2880,2428.393187
-1567.44519,2880,2438.701487
-2829.346593,2880,2450.758958
-1018.114233,2880,2461.061023
-2702.222819,2880,2473.125252
-2493.711715,2880,2503.092395
-4846.340141,2880,2513.400346
-2979.219591,2880,2525.468535
-2822.397306,2880,2535.772177
-472.835616,2880,2547.845881
-2698.473109,2880,2558.156325
-921.928244,2880,2568.459559
-2465.682216,2880,2600.217987
-4857.569184,2880,2610.520079
-2965.261471,2880,2622.575363
-2779.644006,2880,2632.873563
-462.764159,2880,2643.172193
-998.203886,2880,2655.230994
-914.537628,2880,2665.523662
-2459.335767,2880,2697.215623
-4890.594331,2880,2707.523052
-2935.364207,2880,2719.580827
-2797.59098,2880,2729.885769
-468.477934,2880,2740.184781
-1004.555186,2880,2752.23933
-916.351857,2880,2762.536978
-2434.78222,2880,2794.254111
-4839.997007,2880,2804.562509
-2915.892135,2880,2814.858506
-1555.343402,2880,2826.918107
-470.625634,2880,2837.225636
-1009.994916,2880,2849.285887
-925.205824,2880,2859.590634
-2447.63393,2880,2889.526738
-4817.308388,2880,2901.587788
-1547.232201,2880,2911.887022
-2800.423446,2880,2923.952847
-993.255883,2880,2934.251057
-2667.565656,2880,2944.556446
-906.043306,2880,2956.621676
-1501.496776,2880,2986.579611
-4791.888979,2880,2998.632876
-1539.910562,2880,3008.932034
-2820.70582,2880,3019.228374
-453.711239,2880,3031.283206
-2732.512571,2880,3041.58033
-909.001167,2880,3053.645007
-1514.854913,2880,3083.567793
-4779.245149,2880,3093.863581
-2945.096932,2880,3105.922381
-2789.342245,2880,3116.215876
-441.172152,2880,3128.259067
-2642.541998,2880,3138.559059
-896.203102,2880,3150.614394
-1493.183845,2880,3180.572477
-4679.018605,2880,3190.879011
-2865.021434,2880,3202.930775
-2727.766525,2880,3213.229889
-444.805785,2880,3225.282394
-2645.671822,2880,3235.585653
-897.058333,2880,3245.886309
-2414.544116,2880,3277.592153
-2885.014236,2880,3287.88888
-1527.996704,2880,3299.951168
-440.346736,2880,3310.235552
-982.945509,2880,3320.53961
-2622.834232,2880,3332.589467
-2387.42618,2880,3342.891895
-1495.275504,2880,3374.594428
-2849.528155,2880,3384.950292
-1527.341203,2880,3395.250528
-2720.613041,2880,3407.327549
-975.988231,2880,3417.630245
-2612.306993,2880,3429.70743
-2378.870238,2880,3459.674466
-4479.427607,2880,3469.993534
-4525.907089,2880,3482.065679
-1522.347359,2880,3492.377398
-2707.053369,2880,3504.451085
-974.838135,2880,3514.767169
-2598.82531,2880,3525.073025
-893.496266,2880,3556.830665
-4356.616804,2880,3567.150628
-4391.57849,2880,3579.22264
-1526.02128,2880,3589.531296
-2706.103417,2880,3601.603816
-976.059582,2880,3611.922086
-2594.209687,2880,3622.232284
-894.933822,2880,3653.977088
-4244.993474,2880,3664.292189
-4270.160242,2880,3676.363908
-1524.848913,2880,3686.679346
-2695.292786,2880,3696.987807
-437.31734,2880,3709.049044
-2591.059697,2880,3719.356817
-896.7505,2880,3751.114214
-4267.734201,2880,3761.422702
-2817.207374,2880,3771.735365
-1528.859692,2880,3783.820045
-445.281909,2880,3794.118816
-985.269423,2880,3806.183714
-906.750741,2880,3816.491812
-2381.222045,2880,3846.444443
-4205.060667,2880,3858.527998
-2824.484242,2880,3868.838798
-1538.458109,2880,3880.909777
-455.649701,2880,3891.213391
-995.992334,2880,3901.520432
-2600.795833,2880,3913.59096
-2376.6694,2880,3943.555197
-4208.36511,2880,3955.62485
-2818.826352,2880,3965.934479
-1536.886442,2880,3976.243925
-2694.667744,2880,3988.31596
-995.355551,2880,3998.620467
-2592.175317,2880,4010.685467
-2371.321842,2880,4040.636262
-4209.967711,2880,4052.705059
-2810.489507,2880,4063.014323
-1533.237218,2880,4073.328916
-2693.670534,2880,4085.411614
-995.757745,2880,4095.723306
-2590.253294,2880,4107.801403
-2372.652768,2880,4137.755004
-4235.17819,2880,4148.065435
-2811.108766,2880,4160.130247
-2692.155858,2880,4170.430714
-455.159274,2880,4182.48643
-2593.436108,2880,4192.799385
-914.720905,2880,4203.105079
-2374.370268,2880,4234.832453
-4240.704789,2880,4245.138205
-2815.410225,2880,4257.2009
-2697.036497,2880,4267.499269
-459.641438,2880,4277.79184
-996.3755,2880,4289.847879
-917.227907,2880,4300.145871
-2382.928735,2880,4331.814413
-4333.187364,2880,4342.11498
-2818.342701,2880,4352.42232
-1536.354029,2880,4364.481494
-458.930651,2880,4374.769497
-997.36587,2880,4386.820038
-916.533007,2880,4397.117753
-2380.908499,2880,4427.042784
-4428.328428,2880,4439.110428
-2829.581354,2880,4449.408649
-1534.004425,2880,4461.46468
-454.274138,2880,4471.762536
-990.28437,2880,4483.820364
-910.289148,2880,4494.125276
-2372.079848,2880,4524.054786
-4325.121053,2880,4536.116088
-1532.732771,2880,4546.418382
-2690.025207,2880,4558.475589
-991.898614,2880,4568.77069
-2591.925328,2880,4579.068189
-911.52286,2880,4591.132221
-1501.687386,2880,4621.075438
-4377.219772,2880,4633.135655
-1536.988295,2880,4643.435828
-2695.325005,2880,4653.742855
-456.107646,2880,4665.797693
-2595.637118,2880,4676.107479
-913.179365,2880,4688.158861
-1500.391109,2880,4718.09768
-4425.171361,2880,4728.404595
-2811.696845,2880,4740.46602
-2699.441889,2880,4750.770586
-455.037128,2880,4762.84053
-2592.800041,2880,4773.142317
-908.838434,2880,4783.445278
