,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,124.32621,2.5637036561965942,4.75,21.008036477408556,25.452719,-0.0013352011,-0.12432621,23.86
1,1/2016,0.0,143.3839,2.927596092224121,4.66,21.015580790531274,25.793425,-0.0015398711,-0.14338389,23.4925
2,1/2016,0.0,113.84676,2.3497849702835083,4.57,21.022630366844595,25.236452,-0.0012226572,-0.113846764,23.125
3,1/2016,0.0,105.42209,2.1799904108047485,4.4799999999999995,21.029146604201767,25.065176,-0.0011321803,-0.10542209,22.7575
4,1/2016,0.0,88.71871,1.844465732574463,4.39,21.035108629651237,24.73415,-0.00095279445,-0.08871871,22.39
5,1/2016,0.0,70.93108,1.483069896697998,4.3,21.04048315266765,24.37581,-0.00076176424,-0.070931084,21.94
6,1/2016,0.0,94.723564,1.9580597877502441,4.21,21.045294316987782,24.814894,-0.0010172835,-0.09472357,21.490000000000002
7,1/2016,0.0,96.33676,1.9867140054702759,4.12,21.04959174881671,24.831224,-0.0010346085,-0.09633676,21.04
8,1/2016,0.0,86.64461,1.7910819053649902,4.03,21.05337730812091,24.633444,-0.0009305196,-0.086644605,20.59
9,1/2016,0.0,58.90155,1.2291923761367798,3.9400000000000004,21.056612023443687,24.08384,-0.0006325731,-0.058901552,19.645
10,1/2016,0.0,81.87094,1.6903102397918701,3.85,21.059304216279905,24.50849,-0.00087925285,-0.08187094,18.7
11,1/2016,0.0,58.753357,1.2222272157669067,3.76,21.0614674531919,24.048296,-0.0006309816,-0.058753356,17.755
12,1/2016,0.0,52.040314,1.0835448503494263,3.67,21.063074138601497,23.89955,-0.00055888685,-0.052040312,16.81
13,1/2016,0.0,26.710373,0.5582295656204224,3.5324999999999998,21.063965538804023,23.38001,-0.000286856,-0.026710372,16.96
14,1/2016,0.0,12.398401,0.2567918300628662,3.395,21.06410325491906,23.070534,-0.00013315261,-0.012398401,17.11
15,1/2016,0.0,31.64182,0.6576848030090332,3.2575000000000003,21.06351430121922,23.43078,-0.00033981728,-0.031641822,17.259999999999998
16,1/2016,0.0,24.22518,0.5025444030761719,3.12,21.062234277335524,23.262745,-0.00026016627,-0.02422518,17.41
17,1/2016,0.0,6.8065763,0.1375129222869873,2.9825,21.06024498991456,22.892878,-7.309921e-05,-0.006806576,17.3125
18,1/2016,0.0,33.171165,0.6840827465057373,2.8449999999999998,21.0575778125481,23.392376,-0.00035624168,-0.033171166,17.215
19,1/2016,0.0,18.309835,0.3765428066253662,2.7075,21.05426619143443,23.079605,-0.00019663844,-0.018309835,17.1175
20,1/2016,0.0,27.886215,0.5725929737091064,2.57,21.05031898141688,23.246283,-0.00029948397,-0.027886216,17.02
21,1/2016,0.0,44.59609,0.9097126722335815,2.4325,21.04578903819468,23.54981,-0.0004789396,-0.044596087,16.73
22,1/2016,0.0,47.063652,0.9566642045974731,2.295,21.04071698148939,23.578754,-0.00050544,-0.047063652,16.439999999999998
23,1/2016,0.0,42.785107,0.8684999942779541,2.1574999999999998,21.035112846846303,23.478989,-0.0004594906,-0.042785108,16.15
24,1/2016,0.0,38.050037,0.7713210582733154,2.02,21.02897649032697,23.370007,-0.0004086383,-0.038050037,15.86
25,1/2016,0.0,43.070522,0.874677300453186,2.1425,21.023020530520984,23.452211,-0.0004625558,-0.04307052,16.435
26,1/2016,0.0,43.462727,0.8853886127471924,2.2649999999999997,21.017251756456044,23.446802,-0.00046676787,-0.043462727,17.009999999999998
27,1/2016,0.0,70.245804,1.4214112758636475,2.3874999999999997,21.011706855005123,23.944191,-0.0007544047,-0.0702458,17.585
28,1/2016,0.0,99.04326,1.9864354133605957,2.51,21.00645926152909,24.473944,-0.0010636749,-0.09904326,18.16
29,1/2016,0.0,88.324646,1.7846782207489014,2.635,21.001535408778253,24.274902,-0.00094856235,-0.08832464,18.052500000000002
30,1/2016,0.003091830177016419,82.49008,1.6758406162261963,2.76,20.996908169822984,24.163088,-0.00090084417,-0.0838814,17.945
31,1/2016,0.007376588603666079,125.630165,2.5137062072753906,2.885,20.992623411396334,24.956127,-0.0013848544,-0.12894964,17.8375
32,1/2016,0.011308515867796132,94.89531,1.9290425777435303,3.01,20.988691484132204,24.395271,-0.0010737795,-0.09998414,17.73
33,1/2016,0.014901783165395699,123.93767,2.495638132095337,3.1325,20.985098216834604,24.93092,-0.0014030454,-0.13064347,18.240000000000002
34,1/2016,0.018117446464263054,128.53181,2.590126633644104,3.255,20.981882553535737,25.019665,-0.0014679248,-0.13668467,18.75
35,1/2016,0.020909814359935552,164.10475,3.2661446928977966,3.3775,20.979090185640064,25.66553,-0.001863455,-0.17351416,19.259999999999998
36,1/2016,0.02323843992732577,166.3255,3.3156137466430664,3.5,20.976761560072674,25.717579,-0.0018985585,-0.17678279,19.77
37,1/2016,0.024721704807092237,180.09027,3.5887244939804077,3.76,20.975278295192908,25.983898,-0.0020535535,-0.19121504,20.765
38,1/2016,0.02537671355620219,165.32825,3.333124279975891,4.02,20.974623286443798,25.746572,-0.0018981823,-0.17674777,21.759999999999998
39,1/2016,0.02537671355620219,172.33296,3.4827820658683777,4.28,20.974771909246044,25.894709,-0.0019734094,-0.18375248,22.755
40,1/2016,0.025228090753955712,186.69154,3.770065426826477,4.54,20.975737632169462,26.175688,-0.0021268951,-0.19804418,23.75
41,1/2016,0.024262367830537812,225.13687,4.496912240982056,4.8,20.977573387916884,26.879517,-0.0025351117,-0.23605494,24.32
42,1/2016,0.022426612083116026,226.65912,4.5472875237464905,5.0600000000000005,20.98031341849469,26.942123,-0.002542588,-0.2367511,24.89
43,1/2016,0.01968658150531155,259.8594,5.167862713336945,5.32,20.983984076937578,27.550495,-0.0028859004,-0.26871836,25.46
44,1/2016,0.016015923062422388,258.1875,5.16301292181015,5.58,20.988606411620808,27.565527,-0.0028502054,-0.26539466,26.03
45,1/2016,0.011393588379192465,255.61267,5.141642600297928,5.84,20.994156761425234,27.564491,-0.0028002143,-0.26073977,26.2875
46,1/2016,0.005843238574765763,240.76724,4.896540731191635,6.1,21.00059555836285,27.349024,-0.0026139584,-0.2433967,26.545
47,1/2016,0.0,262.43985,5.3149139285087585,6.36,21.00791527806078,27.766075,-0.0028184722,-0.26243985,26.8025
48,1/2016,0.0,233.35196,4.806470811367035,6.62,21.016089667011286,27.299782,-0.0025060829,-0.23335196,27.06
49,1/2016,0.0,265.0998,5.376510500907898,6.5275,21.024156491380445,27.860859,-0.0028470387,-0.2650998,26.9425
50,1/2016,0.0,274.9204,5.5404792577028275,6.4350000000000005,21.032165836754164,28.038094,-0.0029525072,-0.2749204,26.825
51,1/2016,0.0,249.8455,5.07595682144165,6.3425,21.040094687736794,27.615234,-0.0026832153,-0.2498455,26.7075
52,1/2016,0.0,288.84457,5.761951200664043,6.25,21.0479576646131,28.289013,-0.003102046,-0.2888446,26.59
53,1/2016,0.0,303.31143,6.001213185489178,6.1575,21.055816635825312,28.540985,-0.0032574127,-0.30331144,26.1925
54,1/2016,0.0,265.71286,5.32559734582901,6.0649999999999995,21.063637299637403,27.919464,-0.0028536227,-0.26571286,25.795
55,1/2016,0.0,289.1837,5.727813139557838,5.9725,21.07139871907326,28.323227,-0.0031056877,-0.28918368,25.3975
56,1/2016,0.0,253.99861,5.091843992471695,5.88,21.07908234501847,27.736948,-0.0027278175,-0.2539986,25.0
57,1/2016,0.0,255.78305,5.112413048744202,5.7875,21.086644778973728,27.773266,-0.0027469816,-0.25578305,24.8575
58,1/2016,0.0,274.33136,5.42954957485199,5.695,21.094109607609738,28.093355,-0.0029461812,-0.27433136,24.715
59,1/2016,0.0,251.61722,5.0149663388729095,5.6025,21.10146912437188,27.715916,-0.0027022427,-0.25161722,24.572499999999998
60,1/2016,0.0,256.67526,5.093830168247223,5.51,21.108700057375387,27.80693,-0.0027565637,-0.25667527,24.43
61,1/2016,0.0,249.7217,4.949535548686981,5.324999999999999,21.115549365520316,27.684986,-0.0026818856,-0.24972169,25.54
62,1/2016,0.0,238.9268,4.73709762096405,5.14,21.121997705492927,27.496513,-0.0025659539,-0.2389268,26.65
63,1/2016,0.0,198.99014,3.994913935661316,4.955,21.127984940623445,26.79934,-0.0021370542,-0.19899014,27.76
64,1/2016,0.0,242.09845,4.755250096321106,4.77,21.1335210305183,27.533348,-0.0026000158,-0.24209845,28.87
65,1/2016,0.0,215.5169,4.2622668743133545,4.5874999999999995,21.13863817446373,27.074629,-0.0023145436,-0.21551691,31.0125
66,1/2016,0.0,210.37642,4.152741193771362,4.404999999999999,21.143301708746293,26.978542,-0.002259337,-0.21037641,33.155
67,1/2016,0.0,215.27473,4.223854959011078,4.2225,21.147516942558944,27.054304,-0.0023119426,-0.21527474,35.2975
68,1/2016,0.0,194.10417,3.82646244764328,4.04,21.151268859254692,26.682388,-0.0020845814,-0.19410416,37.44
69,1/2016,0.0,197.07033,3.864685535430908,3.8575,21.154541134567115,26.723854,-0.0021164364,-0.19707033,37.4325
70,1/2016,0.0,180.68596,3.553215265274048,3.675,21.15732354799093,26.43106,-0.0019404765,-0.18068595,37.425
71,1/2016,0.0,178.81592,3.50516939163208,3.4925,21.15960059093486,26.387657,-0.0019203932,-0.17881592,37.4175
72,1/2016,0.0,178.45674,3.484701991081238,3.31,21.16137724184013,26.370237,-0.0019165358,-0.17845674,37.41
73,1/2016,0.0,136.73056,2.707559108734131,3.1575,21.162688381837455,25.628727,-0.0014684177,-0.13673057,36.8925
74,1/2016,0.0,154.23698,3.0221832990646362,3.005,21.16351222065942,25.925226,-0.0016564279,-0.15423699,36.375
75,1/2016,0.0,138.17654,2.716638922691345,2.8525,21.16385938671758,25.631111,-0.0014839468,-0.13817655,35.8575
76,1/2016,0.0,157.52492,3.0622440576553345,2.7,21.163742930573264,25.957441,-0.0016917385,-0.15752491,35.34
77,1/2016,0.0,147.2214,2.8644347190856934,2.545,21.16317560226125,25.76683,-0.001581084,-0.1472214,34.7725
78,1/2016,0.0,159.51428,3.0775317549705505,2.39,21.16216770796614,25.9677,-0.0017131033,-0.15951428,34.205
79,1/2016,0.0,120.36345,2.3519625663757324,2.2350000000000003,21.160692172679532,25.27235,-0.001292643,-0.12036345,33.6375
80,1/2016,0.0,134.7559,2.608948230743408,2.08,21.15872681678828,25.510963,-0.0014472109,-0.13475591,33.07
81,1/2016,0.0,134.3305,2.5925703048706055,1.9275,21.156305219954405,25.490273,-0.0014426423,-0.13433051,32.1825
82,1/2016,0.0,156.1366,2.9767284393310547,1.775,21.153462332591822,25.85268,-0.0016768287,-0.1561366,31.295
83,1/2016,0.0,97.83227,1.9036763906478882,1.6225,21.150158188871075,24.824205,-0.0010506695,-0.09783227,30.4075
84,1/2016,0.0,104.31777,2.0180160999298096,1.47,21.14633687066298,24.922747,-0.0011203205,-0.10431777,29.52
85,1/2016,0.0,113.28247,2.1831021308898926,1.4525,21.14239232228048,25.070894,-0.0012165969,-0.11328247,29.665
86,1/2016,0.0,87.6551,1.7065043449401855,1.435,21.1383063350764,24.606602,-0.0009413718,-0.0876551,29.810000000000002
87,1/2016,0.0,103.0959,1.9944634437561035,1.4175,21.134070480455495,24.869852,-0.0011071983,-0.103095904,29.955000000000002
88,1/2016,0.0,111.24835,2.1447004079818726,1.4,21.129719389261414,25.00386,-0.0011947515,-0.11124835,30.1
89,1/2016,0.0,91.70468,1.7816433906555176,1.3824999999999998,21.125241469755768,24.64813,-0.0009848622,-0.09170468,28.7175
