,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,116.80731,2.416431427001953,4.75,21.008026250439375,25.311821,-0.0012544519,-0.11680731,23.86
1,1/2016,0.0,256.90573,5.003146827220917,4.66,21.01569471900022,27.777893,-0.0027590387,-0.25690573,23.4925
2,1/2016,0.0,173.97246,3.4986562728881836,4.57,21.023086155400254,26.3517,-0.0018683769,-0.17397246,23.125
3,1/2016,0.0,101.2949,2.09700608253479,4.4799999999999995,21.030005706067456,25.011257,-0.0010878564,-0.1012949,22.7575
4,1/2016,0.0,141.39406,2.872777819633484,4.39,21.036423272637297,25.74237,-0.0015185013,-0.14139406,22.39
5,1/2016,0.0,58.630684,1.230736255645752,4.3,21.04229095242353,24.167068,-0.0006296641,-0.058630683,21.94
6,1/2016,0.0,147.2892,2.9751977920532227,4.21,21.047632097248393,25.818111,-0.0015818122,-0.1472892,21.490000000000002
7,1/2016,0.0,78.535416,1.63010573387146,4.12,21.052486593795862,24.528252,-0.0008434309,-0.078535415,21.04
8,1/2016,0.0,31.050783,0.6538467407226562,4.03,21.056707134148425,23.580149,-0.00033346983,-0.031050783,20.59
9,1/2016,0.0,135.38448,2.7352516651153564,3.9400000000000004,21.060388912955258,25.54946,-0.0014539612,-0.13538447,19.645
10,1/2016,0.0,33.056026,0.6935927867889404,3.85,21.063546986840837,23.591946,-0.00035500515,-0.03305603,18.7
11,1/2016,0.0,28.841398,0.6046793460845947,3.76,21.066049278649952,23.48571,-0.00030974214,-0.028841399,17.755
12,1/2016,0.0,52.883587,1.1001173257827759,3.67,21.067942401822894,23.938133,-0.0005679432,-0.052883588,16.81
13,1/2016,0.0,97.56754,1.9884560108184814,3.5324999999999998,21.069210935528243,24.77093,-0.0010478265,-0.09756754,16.96
14,1/2016,0.0,54.939095,1.1358375549316406,3.395,21.069871937117092,23.945816,-0.0005900183,-0.054939095,17.11
15,1/2016,0.0,3.6659377,0.07134532928466797,3.2575000000000003,21.0698080370175,22.911037,-3.937033e-05,-0.0036659376,17.259999999999998
16,1/2016,0.0,36.799877,0.7613439559936523,3.12,21.069013133025816,23.54615,-0.00039521224,-0.036799878,17.41
17,1/2016,0.0,48.316406,0.993597149848938,2.9825,21.067569669954352,23.749449,-0.000518894,-0.048316408,17.3125
18,1/2016,0.0,0.30113974,0.0,2.8449999999999998,21.065440914564654,22.782162,0.0,0.0,17.215
19,1/2016,0.0,0.29802188,0.0,2.7075,21.062576465548066,22.757378,0.0,0.0,17.1175
20,1/2016,0.0,23.02811,0.4723917245864868,2.57,21.059028446616914,23.184858,-0.00024731035,-0.023028111,17.02
21,1/2016,0.0,16.348461,0.3338034152984619,2.4325,21.05483718276855,23.032059,-0.00017557427,-0.01634846,16.73
22,1/2016,0.0,0.29092675,0.0,2.295,21.049986296398643,22.691574,0.0,0.0,16.439999999999998
23,1/2016,0.0,63.538044,1.279638648033142,2.1574999999999998,21.044558654003662,23.892138,-0.0006823667,-0.063538045,16.15
24,1/2016,0.0,104.77282,2.0691840648651123,2.02,21.03871079656358,24.634773,-0.0011252075,-0.10477282,15.86
25,1/2016,0.0,12.219004,0.24728715419769287,2.1425,21.033078604000067,22.885712,-0.00013122597,-0.012219003,16.435
26,1/2016,0.0,8.168448,0.16427850723266602,2.2649999999999997,21.027529381654595,22.785059,-8.772504e-05,-0.008168449,17.009999999999998
27,1/2016,0.0,0.27971298,0.0,2.3874999999999997,21.022048246505793,22.606184,0.0,0.0,17.585
28,1/2016,0.0,120.57857,2.3959672451019287,2.51,21.016793023593003,24.875586,-0.0012949533,-0.120578565,18.16
29,1/2016,0.0,143.54884,2.8329248428344727,2.635,21.01196221583194,25.291035,-0.0015416426,-0.14354885,18.052500000000002
30,1/2016,0.0,0.2757133,0.0,2.76,21.007379900937956,22.581768,0.0,0.0,17.945
