,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,104.347946,2.170208215713501,4.75,21.00800915369484,25.076258,-0.0011206446,-0.104347944,23.86
1,1/2016,0.0,68.831474,1.4504739046096802,4.66,21.015397552193917,24.376965,-0.00073921547,-0.06883147,23.4925
2,1/2016,0.0,133.44543,2.732336640357971,4.57,21.022221875286363,25.586876,-0.0014331371,-0.13344544,23.125
3,1/2016,0.0,17.842161,0.37872862815856934,4.4799999999999995,21.02842150536116,23.329739,-0.00019161585,-0.01784216,22.7575
4,1/2016,0.0,123.3197,2.5280832052230835,4.39,21.03400168527963,25.361153,-0.0013243917,-0.1233197,22.39
5,1/2016,0.0,129.086,2.6351094245910645,4.3,21.039133942647073,25.457037,-0.0013863189,-0.129086,21.94
6,1/2016,0.0,99.09493,2.045196533203125,4.21,21.043795889582622,24.88722,-0.0010642299,-0.099094935,21.490000000000002
7,1/2016,0.0,198.66435,3.9244877099990845,4.12,21.048089662171737,26.674938,-0.0021335555,-0.19866435,21.04
8,1/2016,0.0,133.02937,2.696002721786499,4.03,21.052067225057453,25.505318,-0.0014286687,-0.13302937,20.59
9,1/2016,0.0,139.28853,2.810212254524231,3.9400000000000004,21.055659314114084,25.609987,-0.0014958889,-0.13928853,19.645
10,1/2016,0.0,0.31935433,0.0,3.85,21.05868784461022,22.917912,0.0,0.0,18.7
11,1/2016,0.0,68.200676,1.413117527961731,3.76,21.06107376449566,24.242975,-0.0007324411,-0.06820068,17.755
12,1/2016,0.0,77.5984,1.5991759300231934,3.67,21.06294458687429,24.406322,-0.0008333678,-0.07759839,16.81
13,1/2016,0.0,101.46918,2.0648210048675537,3.5324999999999998,21.06423122375336,24.838951,-0.001089728,-0.101469174,16.96
14,1/2016,0.0,70.10467,1.4411094188690186,3.395,21.064936341396994,24.233475,-0.0007528889,-0.070104666,17.11
15,1/2016,0.0,40.0346,0.829585075378418,3.2575000000000003,21.06498882516232,23.634592,-0.0004299515,-0.0400346,17.259999999999998
16,1/2016,0.0,35.215267,0.7287232875823975,3.12,21.064356244328557,23.519367,-0.0003781943,-0.035215266,17.41
17,1/2016,0.0,0.30432543,0.0,2.9825,21.06299864259149,22.802887,0.0,0.0,17.3125
18,1/2016,0.0,33.04754,0.6807675361633301,2.8449999999999998,21.060932316799683,23.42906,-0.00035491397,-0.03304754,17.215
19,1/2016,0.0,92.60537,1.862006664276123,2.7075,21.058304281699048,24.54006,-0.0009945352,-0.09260537,17.1175
20,1/2016,0.0,0.29881445,0.0,2.57,21.055079610797634,22.74966,0.0,0.0,17.02
21,1/2016,0.0,35.49584,0.7250111103057861,2.4325,21.051195883488962,23.41883,-0.0003812075,-0.03549584,16.73
