#{"t_start": 1648727037.941657, "env_id": null}
r,l,t
-13555.81405,2880,13.490287
-12444.637263,2880,26.330377
-9065.541111,2880,40.145465
-11208.838973,2880,53.008395
-4078.011458,2880,67.61374
-14135.865823,2880,81.672492
-5927.382568,2880,130.903419
-13615.33679,2880,147.427963
-4757.820376,2880,162.726502
-7556.063404,2880,178.438311
-6903.671393,2880,192.383774
-9848.490944,2880,205.817767
-14140.570676,2880,220.142032
-7748.980139,2880,264.453103
-12580.986986,2880,280.960975
-8643.594477,2880,296.299588
-5297.781278,2880,311.637931
-4514.238769,2880,328.172536
-10242.831492,2880,342.984758
-13935.356602,2880,358.001176
-10213.969021,2880,403.485383
-11303.273728,2880,417.528172
-4643.470075,2880,432.493399
-6959.857206,2880,445.928873
-6219.2672,2880,460.405175
-5395.715954,2880,473.82811
-8753.894128,2880,487.264677
-12689.466391,2880,537.569806
-1280.501688,2880,551.960671
-5089.036969,2880,566.679043
-6353.569879,2880,579.733338
-5640.818356,2880,592.565178
-4518.934784,2880,605.86743
-2298.169017,2880,618.590988
-4537.889411,2880,665.963268
-3124.271394,2880,682.301428
-4545.438578,2880,701.599091
-2555.939033,2880,718.451855
-4822.704743,2880,733.188879
-2138.395479,2880,747.643377
-6385.660286,2880,760.638294
-5786.770804,2880,806.904243
-2477.820395,2880,821.266882
-4141.393556,2880,835.314844
-2756.15101,2880,850.421608
-3189.644992,2880,864.050748
-2264.849656,2880,879.530364
-3868.863322,2880,893.997641
-2604.529084,2880,939.24667
-1109.63439,2880,953.76533
-2855.245371,2880,967.719139
-2310.216901,2880,982.803324
-2923.458856,2880,997.186287
-1847.960581,2880,1011.837597
-1013.709584,2880,1027.377363
-2823.271741,2880,1072.809483
-904.137017,2880,1087.257559
-2846.660891,2880,1100.648866
-2614.215013,2880,1114.039569
-1738.597975,2880,1128.506963
-1554.565869,2880,1142.107138
-839.477217,2880,1157.878301
-2414.747712,2880,1204.983705
-1473.021788,2880,1218.460437
-3693.420354,2880,1232.893736
-1884.627215,2880,1246.835765
-3886.564186,2880,1262.461158
-1190.990967,2880,1277.060173
-4330.249622,2880,1292.838111
-6965.560053,2880,1339.335595
-1442.935746,2880,1352.764304
-2783.434294,2880,1367.224416
-1575.810507,2880,1380.996932
-2970.521096,2880,1396.132093
-787.63401,2880,1410.167972
-3964.484435,2880,1425.757433
-2369.009334,2880,1477.719165
-1460.405335,2880,1491.41598
-2530.678771,2880,1505.301394
-1835.84585,2880,1518.125183
-2988.554473,2880,1530.975283
-1490.575214,2880,1544.830301
-3801.147691,2880,1558.82811
-2312.707627,2880,1612.909584
-1390.324104,2880,1631.637397
-2673.131866,2880,1648.424864
-1878.643207,2880,1664.219605
-2977.741365,2880,1677.923586
-1479.58735,2880,1692.101531
-3494.336697,2880,1704.843157
-2415.865744,2880,1751.712761
-1453.304098,2880,1767.537481
-1725.410422,2880,1782.207301
-1524.149528,2880,1799.421971
-1427.980926,2880,1816.491291
-633.99177,2880,1833.071513
-3339.906301,2880,1850.169217
-5321.714326,2880,1895.598617
-1395.596225,2880,1909.458309
-1798.22587,2880,1922.328805
-1792.077568,2880,1936.177949
-1555.900222,2880,1949.087444
