#{"t_start": 1647589818.0576468, "env_id": null}
r,l,t
-11158.363169,2880,19.796699
-5830.230043,2880,39.276475
-7444.990779,2880,60.657435
-4525.551123,2880,79.916757
-9493.323839,2880,97.343285
-6794.817529,2880,148.560895
-4528.016664,2880,168.135153
-6585.410095,2880,189.624917
-3488.38608,2880,209.138811
-8879.489189,2880,231.167934
-6361.062378,2880,250.649714
-3981.406509,2880,266.447799
-5090.868748,2880,320.471549
-3996.865008,2880,339.953785
-6077.55617,2880,361.605086
-3212.328346,2880,380.984894
-8452.498614,2880,401.097837
-6768.839835,2880,422.45252
-3768.497796,2880,438.588766
-4944.754181,2880,493.856505
-5978.949538,2880,513.030224
-5536.192255,2880,532.299346
-3126.524047,2880,553.576304
-3978.607047,2880,572.919755
-5937.153008,2880,594.145072
-4883.184767,2880,610.276287
-2671.21082,2880,663.436076
-3830.498824,2880,684.747171
-5446.582973,2880,704.169448
-3063.92388,2880,725.526767
-3910.450907,2880,744.665329
-5837.463538,2880,764.077863
-3630.099024,2880,815.600931
-9626.594108,2880,835.104969
-3811.983864,2880,856.667569
-5439.510697,2880,875.808996
-3052.031723,2880,897.348403
-3912.588105,2880,916.482455
-5833.743085,2880,935.887414
-3637.575095,2880,988.348044
-9616.727328,2880,1007.738434
-3817.893002,2880,1029.413887
-5439.195593,2880,1048.746935
-3091.674958,2880,1068.291893
-8327.270255,2880,1089.802929
-5844.985879,2880,1109.102627
-3675.542064,2880,1162.846767
-3829.537753,2880,1182.013086
-5886.537343,2880,1201.449349
-5436.135625,2880,1222.966847
-8324.497905,2880,1242.162204
-6637.043467,2880,1263.511527
-3654.50196,2880,1282.615567
-4850.03859,2880,1334.054968
-9636.503273,2880,1355.995534
-5890.692198,2880,1375.38385
-5426.419233,2880,1397.387938
-8313.506232,2880,1416.746841
-6610.989397,2880,1436.22876
-5827.698661,2880,1458.889152
-4836.114448,2880,1511.050666
-9623.246463,2880,1533.497908
-5886.041444,2880,1550.558425
-5424.565787,2880,1569.579604
-3058.288274,2880,1591.762178
-3889.010335,2880,1611.211307
-5815.796454,2880,1632.778881
-4808.471794,2880,1686.808657
-9615.878979,2880,1707.563122
-5847.279375,2880,1726.930735
-5400.284343,2880,1746.356992
-3023.7526,2880,1767.808154
-3873.107481,2880,1787.285353
-5791.444815,2880,1808.776745
-4789.122785,2880,1861.102841
-3766.865113,2880,1879.575775
-5846.047904,2880,1900.954124
-3012.196153,2880,1920.456199
-8307.472884,2880,1942.200534
-5800.195288,2880,1961.840321
-3601.754313,2880,1981.56877
-4790.349371,2880,2035.795537
-3762.699279,2880,2055.410603
-5843.867427,2880,2076.955697
-3004.443989,2880,2096.31373
-8305.407552,2880,2115.548295
-6593.61377,2880,2137.02321
-3600.581356,2880,2156.476419
-4792.138817,2880,2209.926239
-3765.812501,2880,2229.258724
-5844.870358,2880,2248.770682
-5397.158206,2880,2270.186942
-8311.09953,2880,2289.616701
-6601.592003,2880,2310.963933
-3598.884791,2880,2330.341217
-4777.992616,2880,2381.454931
-9628.51742,2880,2402.914901
-5840.918932,2880,2422.394234
-5381.031784,2880,2443.678404
-8314.864499,2880,2463.479712
-6602.322546,2880,2485.448137
-3597.505559,2880,2505.396553
-4785.378183,2880,2556.267135
-9613.257107,2880,2577.395939
-5838.519293,2880,2596.538479
-5394.054369,2880,2618.173348
-8305.227293,2880,2637.282524
-6607.073828,2880,2656.697649
-5803.343444,2880,2678.166508
-4794.331317,2880,2727.861813
-3759.373305,2880,2749.606993
-5386.916973,2880,2768.964287
-3011.163623,2880,2788.46021
-8305.711522,2880,2809.846277
-5794.61743,2880,2829.176573
-3591.235093,2880,2850.74679
-2581.408939,2880,2900.616117
-3757.883597,2880,2920.254997
-5840.189798,2880,2941.998083
-3002.480148,2880,2961.250513
-8289.650319,2880,2983.041806
-5787.030011,2880,3002.425381
-3589.407549,2880,3021.92099
-4775.365226,2880,3073.455192
-3763.909722,2880,3092.541196
-5853.649205,2880,3114.127365
-3008.595333,2880,3133.275587
-8306.527946,2880,3152.600641
-6604.801884,2880,3174.103708
-3606.47408,2880,3193.083416
-4790.907101,2880,3244.114454
-3773.866619,2880,3263.410252
-5871.536421,2880,3285.165742
-3007.242406,2880,3304.364809
-8332.744574,2880,3323.795574
-6624.406283,2880,3345.824867
-3604.726914,2880,3365.258132
-4807.191914,2880,3416.190852
-5889.710184,2880,3435.891116
-5419.347695,2880,3455.537281
-3026.368856,2880,3478.216587
-3877.498795,2880,3497.975408
-5819.617455,2880,3520.718197
-4810.909247,2880,3540.460176
-2598.312794,2880,3587.477534
-3785.651899,2880,3609.794697
-5405.111304,2880,3629.388517
-3020.591845,2880,3651.636321
-3874.944196,2880,3671.175254
-5808.062746,2880,3690.627756
-3601.401364,2880,3712.939824
-2590.372015,2880,3759.292272
-3762.078899,2880,3781.032649
-5407.327266,2880,3800.31685
-3020.02763,2880,3819.489692
-8323.274312,2880,3841.182539
-5817.032631,2880,3860.265654
-3602.124454,2880,3914.235289
-9642.517686,2880,3927.401773
-3773.461336,2880,3946.421321
-5862.215774,2880,3968.090224
-3011.842993,2880,3987.253544
-8315.831574,2880,4008.702405
-5798.945857,2880,4028.01066
-3597.486894,2880,4080.822628
-3762.978702,2880,4093.867961
-5842.710011,2880,4113.163718
-5387.160091,2880,4134.783376
-8306.673686,2880,4154.476664
-6595.159794,2880,4176.123515
-3591.015932,2880,4196.098915
-4780.280611,2880,4245.977374
-9629.770901,2880,4261.680582
-5841.349608,2880,4281.139885
-5382.423974,2880,4302.454622
-8295.829813,2880,4321.863633
-6584.972872,2880,4341.089898
-5782.107088,2880,4362.396236
-4773.765075,2880,4411.956123
-9619.605897,2880,4427.470059
-5836.608559,2880,4446.670537
-5373.488547,2880,4466.029411
-2988.367311,2880,4487.355515
-3840.703289,2880,4506.811162
-5766.737095,2880,4528.060956
-4755.873443,2880,4577.056588
-9624.264669,2880,4590.136049
-3731.851115,2880,4611.299877
-5356.078532,2880,4630.739184
-2976.615528,2880,4652.207314
-3838.806871,2880,4671.410444
