,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.15370133190199908,683.6561,12.0,4.75,20.846298668098,34.480507,-0.007877801,-0.7605068,23.86
1,1/2016,0.2546564515452481,729.1824,12.0,4.66,20.745343548454752,36.6346,-0.008872267,-0.8565106,23.4925
2,1/2016,0.31103455254351076,771.97626,12.0,4.57,20.68896544745649,38.51423,-0.009607552,-0.9274935,23.125
3,1/2016,0.32982118633673707,811.93567,12.0,4.4799999999999995,20.670178813663263,40.158264,-0.010118779,-0.9768463,22.7575
4,1/2016,0.32998891788908935,849.0603,12.0,4.39,20.683011258776364,41.599987,-0.010504208,-1.0140548,22.39
5,1/2016,0.31698874122363563,26.388119,0.0,4.3,20.691425122045047,31.387392,-0.0016417828,-0.15849437,21.94
6,1/2016,0.3091388621448843,852.38776,12.0,4.21,20.70014427010851,41.579567,-0.010430686,-1.0069572,21.490000000000002
7,1/2016,0.29985572989149034,887.055,12.0,4.12,20.73564103143384,42.852234,-0.010741711,-1.0369829,21.04
8,1/2016,0.26435896856616026,920.812,11.910744309425354,4.03,20.793288785728816,43.889046,-0.010907538,-1.0529915,20.59
9,1/2016,0.20671121427118422,235.82332,3.3993297815322876,3.9400000000000004,20.847228570458288,36.721004,-0.0035134254,-0.33917892,19.645
10,1/2016,0.15277142954171197,30.122583,0.0,3.85,20.8700568335553,32.627342,-0.0007912505,-0.076385714,18.7
11,1/2016,0.1299431664447006,890.5515,12.0,3.76,20.889756496029396,42.690926,-0.0098979,-0.9555231,17.755
12,1/2016,0.11024350397060445,200.39833,2.9717373847961426,3.67,20.9100399006682,35.21457,-0.002646835,-0.25552008,16.81
13,1/2016,0.08996009933180105,905.7263,12.0,3.5324999999999998,20.933035070760422,43.066376,-0.009848005,-0.95070636,16.96
14,1/2016,0.0669649292395782,939.67596,12.0,3.395,20.978109101697044,44.187263,-0.010080578,-0.9731585,17.11
15,1/2016,0.02189089830295643,757.29144,9.737080335617065,3.2575000000000003,21.035653291569684,43.01243,-0.007957873,-0.7682369,17.259999999999998
16,1/2016,0.0,35.18816,0.0,3.12,21.07322472612132,34.120518,0.0,0.0,17.41
17,1/2016,0.0,30.003876,0.0,2.9825,21.071920507379414,32.547447,0.0,0.0,17.3125
18,1/2016,0.0,609.94147,8.571017146110535,2.8449999999999998,21.059611470171603,39.365765,-0.0063181515,-0.6099415,17.215
19,1/2016,0.0,494.2303,7.031929314136505,2.7075,21.052876722765852,38.394802,-0.0051195435,-0.4942303,17.1175
20,1/2016,0.0,867.5633,11.206815719604492,2.57,21.057938276155596,42.520508,-0.008986758,-0.8675633,17.02
21,1/2016,0.0,964.8048,12.0,2.4325,21.084029565004336,44.231678,-0.009994046,-0.9648048,16.73
22,1/2016,0.0,578.6245,7.569168984889984,2.295,21.11791799204027,40.99125,-0.005993751,-0.5786245,16.439999999999998
