,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,2.8614702,0.0,4.75,21.005857902620033,23.0,0.0,0.0,23.86
1,1/2016,0.0,7.509111,0.11205267906188965,4.66,21.007433241668696,22.847076,-0.0001272373,-0.007509111,23.4925
2,1/2016,0.0,72.89231,1.5314408540725708,4.57,21.006310126862473,23.987682,-0.0012351157,-0.07289231,23.125
3,1/2016,0.0,52.09586,1.0943856239318848,4.4799999999999995,21.00341613473493,23.487381,-0.00088273257,-0.05209586,22.7575
4,1/2016,0.0005529844083689284,105.72699,2.214932441711426,4.39,20.99944701559163,24.454792,-0.0017961643,-0.10600348,22.39
5,1/2016,0.004432590759428479,134.36676,2.7846715450286865,4.3,20.99556740924057,24.992762,-0.0023143166,-0.13658306,21.94
6,1/2016,0.007719688720367657,151.15126,3.103956699371338,4.21,20.992280311279632,25.33442,-0.0026265685,-0.1550111,21.490000000000002
7,1/2016,0.01030883156616369,154.36777,3.154446244239807,4.12,20.989691168433836,25.437769,-0.0027030061,-0.15952219,21.04
8,1/2016,0.01283403606329614,113.19787,2.3354841470718384,4.03,20.987165963936704,24.705557,-0.0020268015,-0.11961489,20.59
9,1/2016,0.015222846792148914,160.78882,3.2616069316864014,3.9400000000000004,20.98477715320785,25.574224,-0.0028534394,-0.16840024,19.645
10,1/2016,0.017930918723884304,86.50416,1.7859660387039185,3.85,20.982069081276116,24.216755,-0.0016176746,-0.095469624,18.7
11,1/2016,0.020932307317927723,155.91527,3.156791567802429,3.76,20.979067692682072,25.464048,-0.002819232,-0.16638143,17.755
12,1/2016,0.02372912231619395,130.00848,2.645752787590027,3.67,20.976270877683806,25.022116,-0.0024039522,-0.14187305,16.81
13,1/2016,0.026631098744029913,145.04466,2.9282562732696533,3.5324999999999998,20.97336890125597,25.29441,-0.0026833173,-0.15836021,16.96
14,1/2016,0.029424946062704294,151.834,3.0466479063034058,3.395,20.970575053937296,25.430325,-0.0028220282,-0.16654646,17.11
15,1/2016,0.032642669156686566,109.40716,2.2145122289657593,3.2575000000000003,20.967357330843313,24.662453,-0.0021303925,-0.12572849,17.259999999999998
16,1/2016,0.035927347212801664,177.33871,3.5062912702560425,3.12,20.9640726527872,25.859844,-0.00330928,-0.1953024,17.41
17,1/2016,0.03879050032955078,158.05092,3.1302273273468018,2.9825,20.96120949967045,25.563414,-0.0030067172,-0.17744617,17.3125
18,1/2016,0.04117377607989425,191.52461,3.7341806888580322,2.8449999999999998,20.958826223920106,26.167614,-0.0035941,-0.2121115,17.215
19,1/2016,0.04313615513402169,167.16109,3.2700809240341187,2.7075,20.95686384486598,25.791681,-0.0031979007,-0.18872917,17.1175
20,1/2016,0.04550978155860008,130.99957,2.581543207168579,2.57,20.9544902184414,25.156946,-0.0026052757,-0.15375447,17.02
21,1/2016,0.04828315592186527,165.04337,3.2118247747421265,2.4325,20.951716844078135,25.728699,-0.0032056235,-0.18918495,16.73
22,1/2016,0.05069430719765933,197.72067,3.790343999862671,2.295,20.94930569280234,26.302109,-0.0037797485,-0.22306783,16.439999999999998
23,1/2016,0.053323158161610706,129.21986,2.5192891359329224,2.1574999999999998,20.94667684183839,25.146622,-0.0026413158,-0.15588143,16.15
24,1/2016,0.05629198560273707,184.09189,3.522212505340576,2.02,20.943708014397263,26.062784,-0.0035962416,-0.2122379,15.86
25,1/2016,0.05884779144234997,137.74649,2.6785579919815063,2.1425,20.94115220855765,25.293081,-0.0028326001,-0.16717038,16.435
26,1/2016,0.0615266451565617,135.82233,2.652833104133606,2.2649999999999997,20.93847335484344,25.23716,-0.0028226923,-0.16658565,17.009999999999998
27,1/2016,0.06477011267033816,95.97225,1.8997024297714233,2.3874999999999997,20.935229887329662,24.487127,-0.0021749362,-0.1283573,17.585
28,1/2016,0.06800678960064488,167.92921,3.2772281169891357,2.51,20.931993210399355,25.722279,-0.003421625,-0.20193261,18.16
29,1/2016,0.07116144662937174,102.94468,2.0506374835968018,2.635,20.92883855337063,24.58009,-0.0023472284,-0.1385254,18.052500000000002
30,1/2016,0.0743431664215386,149.69157,2.958777666091919,2.76,20.92565683357846,25.3834,-0.003166282,-0.18686315,17.945
31,1/2016,0.07662644958216447,177.1179,3.4765573740005493,2.885,20.923373550417836,25.889727,-0.003650349,-0.21543112,17.8375
32,1/2016,0.07912838455978743,70.053474,1.412340760231018,3.01,20.920871615440213,23.963022,-0.0018574045,-0.109617665,17.73
33,1/2016,0.08258734305147541,101.86765,2.0619581937789917,3.1325,20.917412656948525,24.470715,-0.0024257815,-0.14316133,18.240000000000002
34,1/2016,0.086084498867109,128.66083,2.5973703861236572,3.255,20.91391550113289,24.932474,-0.0029094038,-0.17170307,18.75
35,1/2016,0.08993278324340537,75.47387,1.545837163925171,3.3775,20.910067216756595,23.92241,-0.0020407867,-0.12044026,19.259999999999998
36,1/2016,0.09449269257785531,87.86678,1.8080538511276245,3.5,20.905507307422145,24.090122,-0.0022894097,-0.13511313,19.77
37,1/2016,0.09819404229266127,156.95753,3.188494563102722,3.76,20.90180595770734,25.357668,-0.0034914687,-0.20605455,20.765
38,1/2016,0.10099902022390239,97.76274,2.030372142791748,4.02,20.899000979776098,24.306839,-0.0025122133,-0.14826225,21.759999999999998
39,1/2016,0.10319492807660069,130.924,2.7124754190444946,4.28,20.8968050719234,24.921532,-0.0030927148,-0.18252146,22.755
40,1/2016,0.10514702039336754,71.9177,1.5185208320617676,4.54,20.894852979606632,23.797335,-0.0021094277,-0.124491215,23.75
41,1/2016,0.1075125932797043,71.116356,1.5152850151062012,4.8,20.892487406720296,23.719818,-0.002115891,-0.124872655,24.32
42,1/2016,0.10966252387550313,105.63899,2.25316321849823,5.0600000000000005,20.890337476124497,24.3605,-0.0027190708,-0.16047026,24.89
43,1/2016,0.11173640961859022,58.5941,1.2669013738632202,5.32,20.88826359038141,23.41543,-0.0019394939,-0.1144623,25.46
44,1/2016,0.11395880037889583,78.149506,1.7022918462753296,5.58,20.886041199621104,23.756151,-0.0022896768,-0.1351289,26.03
45,1/2016,0.11613172323665566,65.1667,1.432153344154358,5.84,20.883868276763344,23.464254,-0.0020881006,-0.123232566,26.2875
46,1/2016,0.11774647814114658,106.456314,2.334570050239563,6.1,20.882253521858853,24.27789,-0.0028014085,-0.16532956,26.545
47,1/2016,0.1181032114122722,117.08949,2.57003653049469,6.36,20.881896788587728,24.527603,-0.0029846034,-0.1761411,26.8025
48,1/2016,0.1181032114122722,65.30822,1.4585316181182861,6.62,20.882124207160526,23.503073,-0.0021072016,-0.12435983,27.06
49,1/2016,0.1183391606134947,88.52824,1.968422770500183,6.5275,20.881660839386505,23.941015,-0.0025026496,-0.14769782,26.9425
50,1/2016,0.11872872870981865,116.950836,2.5725449323654175,6.4350000000000005,20.88127127129018,24.513968,-0.0029875536,-0.1763152,26.825
51,1/2016,0.11892411764629429,103.04484,2.2696512937545776,6.3425,20.881075882353706,24.265242,-0.0027535802,-0.1625069,26.7075
52,1/2016,0.11952338337026447,77.73973,1.7193238735198975,6.25,20.880476616629736,23.751608,-0.0023298776,-0.13750142,26.59
53,1/2016,0.12095774914622126,68.576836,1.517926812171936,6.1575,20.87904225085378,23.528646,-0.0021867703,-0.12905571,26.1925
54,1/2016,0.12280353576191061,100.936874,2.216509222984314,6.0649999999999995,20.87719646423809,24.155355,-0.0027507294,-0.16233864,25.795
55,1/2016,0.12412804192707583,137.32253,2.9691596031188965,5.9725,20.875871958072924,24.891582,-0.0033784835,-0.19938655,25.3975
56,1/2016,0.12582499909600386,48.60507,1.0663197040557861,5.88,20.874175000903996,23.141617,-0.0018895973,-0.11151757,25.0
57,1/2016,0.12813409382601293,110.76648,2.409749150276184,5.7875,20.871865906173987,24.344784,-0.0029624475,-0.17483352,24.8575
58,1/2016,0.1298037460990038,140.56274,3.0160170793533325,5.695,20.870196253900996,24.95425,-0.0034814726,-0.20546462,24.715
59,1/2016,0.1314996247194422,74.63334,1.6260995864868164,5.6025,20.868500375280558,23.69549,-0.002378707,-0.14038315,24.572499999999998
60,1/2016,0.1333758690393516,126.17879,2.708682417869568,5.51,20.86662413096065,24.688108,-0.0032680088,-0.19286671,24.43
61,1/2016,0.13505089432504747,126.21102,2.694665551185608,5.324999999999999,20.864949105674953,24.718466,-0.0032827463,-0.19373646,25.54
62,1/2016,0.13743429329948142,67.246254,1.449103832244873,5.14,20.86256570670052,23.563606,-0.0023038168,-0.1359634,26.65
63,1/2016,0.13976331813242737,178.405,3.7084765434265137,4.955,20.860236681867573,25.66314,-0.0042070663,-0.24828666,27.76
64,1/2016,0.1413279814713988,135.40071,2.838705897331238,4.77,20.8586720185286,24.946827,-0.0034916408,-0.2060647,28.87
65,1/2016,0.14251184839043418,160.02196,3.3083349466323853,4.5874999999999995,20.857488151609566,25.431128,-0.003918863,-0.23127788,31.0125
66,1/2016,0.14348509138799415,134.98793,2.798654079437256,4.404999999999999,20.856514908612006,25.009125,-0.003502922,-0.20673048,33.155
67,1/2016,0.14491327667919407,114.91675,2.38618004322052,4.2225,20.855086723320806,24.633068,-0.0031749278,-0.18737338,35.2975
68,1/2016,0.14636081442607818,168.88177,3.431941866874695,4.04,20.853639185573922,25.6185,-0.004101596,-0.24206218,37.44
69,1/2016,0.14749970872401974,151.047,3.0704938173294067,3.8575,20.85250029127598,25.338127,-0.0038090455,-0.22479685,37.4325
70,1/2016,0.14917815037030735,110.4664,2.2622129917144775,3.675,20.850821849629693,24.594372,-0.003135652,-0.18505546,37.425
71,1/2016,0.15084903761448842,192.45615,3.824397325515747,3.4925,20.84915096238551,26.053587,-0.004539075,-0.26788068,37.4175
72,1/2016,0.1524249896301093,130.1037,2.6231921911239624,3.31,20.84757501036989,24.991016,-0.003495902,-0.20631619,37.41
73,1/2016,0.15348731927397097,224.53494,4.367695748806,3.1575,20.84651268072603,26.64472,-0.005104982,-0.3012786,36.8925
74,1/2016,0.15424024090462396,132.81892,2.6479657888412476,3.005,20.845759759095376,25.117287,-0.0035572888,-0.20993903,36.375
75,1/2016,0.1555701635646649,152.41191,3.0130151510238647,2.8525,20.844429836435335,25.43947,-0.0039005475,-0.23019698,35.8575
76,1/2016,0.15687223735188027,182.65555,3.5615841150283813,2.7,20.84312776264812,25.968094,-0.004424039,-0.26109165,35.34
77,1/2016,0.15787149880040374,184.62344,3.5801278352737427,2.545,20.842128501199596,26.03026,-0.0044658496,-0.2635592,34.7725
78,1/2016,0.15931990733889023,130.13419,2.5550036430358887,2.39,20.84068009266111,25.089401,-0.0035548336,-0.20979413,34.205
