#{"t_start": 1649100399.4885774, "env_id": null}
r,l,t
-2690.441542,2880,9.516475
-1406.206423,2880,18.956532
-3601.837502,2880,30.109529
-8047.236173,2880,39.572546
-869.991119,2880,50.744757
-3534.657348,2880,60.203141
-9006.448762,2880,89.225865
-2767.499018,2880,100.394469
-644.200059,2880,109.853622
-1074.948611,2880,121.01944
-937.994657,2880,130.464786
-1358.634001,2880,139.919559
-10414.435365,2880,151.168817
-1888.669731,2880,180.095486
-9019.799364,2880,191.329094
-2113.294996,2880,200.771579
-3343.487517,2880,210.216323
-5949.899887,2880,221.424318
-3562.657521,2880,230.898734
-875.613568,2880,242.046136
-2360.659797,2880,271.025489
-347.551347,2880,280.483702
-1517.968026,2880,291.663602
-4435.642695,2880,301.123408
-1059.887588,2880,312.325329
-541.072783,2880,321.773939
-638.866763,2880,331.230956
-730.825015,2880,361.887584
-441.779631,2880,371.342957
-421.832155,2880,382.502358
-1860.017852,2880,391.956145
-3664.427523,2880,401.407524
-281.580552,2880,412.5623
-1831.822216,2880,422.020525
-2661.756182,2880,452.646946
-179.210396,2880,462.094593
-2343.169116,2880,473.262535
-2509.099092,2880,482.705875
-2171.148402,2880,492.160778
-587.735707,2880,503.33099
-2989.36132,2880,512.805307
-236.257886,2880,543.402911
-1126.562978,2880,552.852739
-1272.629283,2880,562.294484
-1218.608391,2880,573.446678
-191.842366,2880,582.893727
-532.822148,2880,594.04813
-1686.2323,2880,603.509421
-195.017939,2880,632.442534
-2634.425658,2880,643.712023
-2265.869286,2880,653.168611
-1854.519077,2880,664.326315
-2542.001497,2880,673.795044
-1748.82594,2880,683.245809
-100.648725,2880,694.419738
-3668.946469,2880,723.38274
-2424.477345,2880,734.537048
-1913.207511,2880,744.013623
-335.293979,2880,753.451122
-734.045018,2880,764.613618
-661.055631,2880,774.076945
-3009.75198,2880,785.279528
-2440.324543,2880,814.166859
-1473.390804,2880,823.610839
-762.476781,2880,834.786863
-2455.915381,2880,844.258713
-1976.4972,2880,855.411005
-1571.45416,2880,864.852559
-2606.208441,2880,876.019838
-238.972432,2880,904.972378
-1816.636724,2880,914.435877
-3543.589624,2880,925.607557
-572.750603,2880,935.056101
-2671.133574,2880,946.211843
-2180.807923,2880,955.662693
-734.778214,2880,965.099492
-1112.505042,2880,995.710588
-1552.447064,2880,1005.168727
-3352.75979,2880,1016.314745
-3531.457785,2880,1025.77105
-124.533229,2880,1035.209852
-1603.352103,2880,1046.376622
-1081.70439,2880,1055.817453
-1981.076137,2880,1086.442086
-629.777873,2880,1095.885463
-4785.596231,2880,1105.41825
-407.563051,2880,1116.575536
-2845.294377,2880,1126.023622
-1725.209131,2880,1137.173728
