,dataset_id,comfort_deviation,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,R,original_r,price
0,1/2016,0.0,128.792,2.6378356218338013,4.75,21.007567836226166,25.523642,-0.0007686652,-0.128792,23.86
1,1/2016,0.0,133.63014,2.733830451965332,4.66,21.013872000108577,25.554018,-0.00079754053,-0.13363014,23.4925
2,1/2016,0.0,139.31479,2.84430992603302,4.57,21.019193243208488,25.614384,-0.000831468,-0.13931479,23.125
3,1/2016,0.0,136.56851,2.788151979446411,4.4799999999999995,21.023672009788275,25.530304,-0.0008150775,-0.13656852,22.7575
4,1/2016,0.0,146.21515,2.973504424095154,4.39,21.027485688203416,25.677639,-0.00087265123,-0.14621516,22.39
5,1/2016,0.0,132.41231,2.7001712322235107,4.3,21.03063236132953,25.404545,-0.0007902722,-0.13241231,21.94
6,1/2016,0.0,144.27036,2.928637146949768,4.21,21.03316268382812,25.592913,-0.00086104416,-0.14427036,21.490000000000002
7,1/2016,0.0,143.74399,2.913652181625366,4.12,21.03526117660799,25.569868,-0.0008579027,-0.14374399,21.04
8,1/2016,0.0,143.79707,2.909849166870117,4.03,21.0369476250618,25.557829,-0.00085821946,-0.14379707,20.59
9,1/2016,0.0,144.11986,2.9111284017562866,3.9400000000000004,21.03824900485199,25.551704,-0.00086014596,-0.14411986,19.645
10,1/2016,0.0,143.32195,2.890668511390686,3.85,21.039177405084658,25.52603,-0.0008553838,-0.14332195,18.7
11,1/2016,0.0,156.53624,3.138456344604492,3.76,21.03990419575586,25.75639,-0.00093425025,-0.15653624,17.755
12,1/2016,0.0,148.39166,2.9757936000823975,3.67,21.040469360312912,25.613697,-0.0008856412,-0.14839166,16.81
13,1/2016,0.0,155.86285,3.1088937520980835,3.5324999999999998,21.040726467952226,25.74012,-0.0009302313,-0.15586285,16.96
14,1/2016,0.0,159.74077,3.1715789437294006,3.395,21.040792415654458,25.809368,-0.00095337577,-0.15974078,17.11
15,1/2016,0.0,164.61671,3.2518327832221985,3.2575000000000003,21.040736439730118,25.898952,-0.0009824767,-0.16461672,17.259999999999998
16,1/2016,0.0,156.45984,3.087806761264801,3.12,21.040469750016094,25.759207,-0.00093379425,-0.15645984,17.41
17,1/2016,0.0,159.90884,3.14248788356781,2.9825,21.039912951612187,25.814095,-0.00095437886,-0.15990885,17.3125
18,1/2016,0.0,170.15034,3.3215811252593994,2.8449999999999998,21.03920934236847,25.991734,-0.0010155028,-0.17015034,17.215
19,1/2016,0.0,172.68468,3.355835258960724,2.7075,21.038461427671493,26.043383,-0.0010306285,-0.17268468,17.1175
20,1/2016,0.0,174.64282,3.379198372364044,2.57,21.037663331154075,26.084637,-0.0010423152,-0.17464282,17.02
21,1/2016,0.0,178.67609,3.439953625202179,2.4325,21.03682780648464,26.160858,-0.0010663868,-0.17867608,16.73
22,1/2016,0.0,178.7325,3.4281502962112427,2.295,21.03594098582039,26.16977,-0.0010667235,-0.1787325,16.439999999999998
23,1/2016,0.0,184.64276,3.521729350090027,2.1574999999999998,21.035016147083983,26.275873,-0.0011019974,-0.18464276,16.15
24,1/2016,0.0,177.77446,3.3855886459350586,2.02,21.033978498597737,26.166965,-0.0010610056,-0.17777446,15.86
25,1/2016,0.0,187.15791,3.5620797872543335,2.1425,21.03352976769896,26.344,-0.0011170086,-0.18715791,16.435
26,1/2016,0.0,173.45142,3.322939395904541,2.2649999999999997,21.03357661567754,26.13552,-0.0010352045,-0.17345141,17.009999999999998
27,1/2016,0.0,172.09064,3.3074262142181396,2.3874999999999997,21.03393663180744,26.120316,-0.001027083,-0.17209063,17.585
28,1/2016,0.0,169.8723,3.2762532234191895,2.51,21.03457716117342,26.089037,-0.0010138435,-0.1698723,18.16
29,1/2016,0.0,164.19972,3.181846797466278,2.635,21.035426659425625,25.995173,-0.000979988,-0.16419972,18.052500000000002
30,1/2016,0.0,159.06494,3.0970610976219177,2.76,21.03638674073069,25.903965,-0.00094934227,-0.15906495,17.945
31,1/2016,0.0,160.46733,3.1333301067352295,2.885,21.037457642547864,25.923622,-0.000957712,-0.16046733,17.8375
32,1/2016,0.0,159.38345,3.123019516468048,3.01,21.038681443610663,25.90354,-0.00095124316,-0.15938345,17.73
33,1/2016,0.0,161.2635,3.167637526988983,3.1325,21.040095114682853,25.93671,-0.00096246385,-0.16126351,18.240000000000002
34,1/2016,0.0,157.57501,3.1077829599380493,3.255,21.04170097454726,25.874702,-0.0009404499,-0.15757501,18.75
35,1/2016,0.0,149.71489,2.9690122604370117,3.3775,21.043387547735236,25.733503,-0.0008935386,-0.14971489,19.259999999999998
36,1/2016,0.0,147.40155,2.9349803924560547,3.5,21.04508060011938,25.68338,-0.000879732,-0.14740156,19.77
37,1/2016,0.0,137.78,2.76906681060791,3.76,21.047063729367967,25.507029,-0.00082230795,-0.13778,20.765
38,1/2016,0.0,140.91919,2.848434090614319,4.02,21.049337372900794,25.555387,-0.00084104354,-0.1409192,21.759999999999998
39,1/2016,0.0,122.44206,2.504372477531433,4.28,21.051773420201517,25.208492,-0.00073076703,-0.12244206,22.755
40,1/2016,0.0,132.96704,2.7307122945785522,4.54,21.054380069244758,25.384024,-0.00079358293,-0.13296704,23.75
41,1/2016,0.0,116.35291,2.4163981676101685,4.8,21.05715355106831,25.065016,-0.00069442537,-0.116352916,24.32
42,1/2016,0.0,121.55626,2.538618564605713,5.0600000000000005,21.060051514358754,25.142717,-0.0007254803,-0.12155626,24.89
43,1/2016,0.0,115.06101,2.423244595527649,5.32,21.063143805574136,25.007793,-0.000686715,-0.115061015,25.46
44,1/2016,0.0,110.43628,2.344537138938904,5.58,21.066372180028626,24.90285,-0.0006591133,-0.110436276,26.03
45,1/2016,0.0,106.258606,2.2737540006637573,5.84,21.069713877005785,24.803837,-0.00063417986,-0.10625861,26.2875
46,1/2016,0.0,107.96911,2.3249398469924927,6.1,21.073233230692306,24.82069,-0.00064438855,-0.107969105,26.545
47,1/2016,0.0,107.87083,2.3378548622131348,6.36,21.077032905048792,24.809414,-0.000643802,-0.107870825,26.8025
48,1/2016,0.0,100.854126,2.2038127183914185,6.62,21.081082313128064,24.66207,-0.0006019245,-0.10085413,27.06
49,1/2016,0.0,108.64339,2.366560935974121,6.5275,21.084511533169188,24.791578,-0.00064841285,-0.10864339,26.9425
50,1/2016,0.0,101.62884,2.214826226234436,6.4350000000000005,21.087376661571472,24.636366,-0.00060654816,-0.10162884,26.825
51,1/2016,0.0,111.06369,2.4109840393066406,6.3425,21.089763945158932,24.804281,-0.00066285784,-0.11106369,26.7075
52,1/2016,0.0,104.34141,2.265325427055359,6.25,21.091732768610047,24.662857,-0.0006227375,-0.10434141,26.59
53,1/2016,0.0,102.97142,2.233169674873352,6.1575,21.09320390817482,24.61961,-0.000614561,-0.10297142,26.1925
54,1/2016,0.0,112.74681,2.4347130060195923,6.0649999999999995,21.09432905225167,24.799372,-0.0006729032,-0.11274681,25.795
55,1/2016,0.0,99.018715,2.142161250114441,5.9725,21.09505664054422,24.52347,-0.0005909702,-0.099018715,25.3975
56,1/2016,0.0,114.75325,2.468154788017273,5.88,21.0954494704117,24.816914,-0.0006848782,-0.114753254,25.0
57,1/2016,0.0,116.99625,2.5089064836502075,5.7875,21.095744778036025,24.864477,-0.0006982649,-0.11699624,24.8575
58,1/2016,0.0,112.078964,2.4014657735824585,5.695,21.095878998131482,24.772259,-0.0006689173,-0.112078965,24.715
59,1/2016,0.0,126.53154,2.693134903907776,5.6025,21.09596839890624,25.052433,-0.00075517414,-0.12653154,24.572499999999998
60,1/2016,0.0,121.14834,2.5760393142700195,5.51,21.096084941015135,24.963362,-0.0007230458,-0.12114834,24.43
61,1/2016,0.0,128.32518,2.7104086875915527,5.324999999999999,21.09596059977659,25.103079,-0.00076587906,-0.12832518,25.54
62,1/2016,0.0,114.98388,2.4274202585220337,5.14,21.095462569173502,24.852163,-0.00068625464,-0.11498388,26.65
63,1/2016,0.0,117.63909,2.472018599510193,4.955,21.094441430466745,24.890728,-0.0007021017,-0.117639095,27.76
64,1/2016,0.0,121.577484,2.5415761470794678,4.77,21.09298122274156,24.956964,-0.00072560704,-0.12157749,28.87
65,1/2016,0.0,141.96284,2.9355533123016357,4.5874999999999995,21.0913856860464,25.338688,-0.0008472723,-0.14196284,31.0125
66,1/2016,0.0,137.53001,2.8337634801864624,4.404999999999999,21.089779985119677,25.274937,-0.00082081597,-0.13753001,33.155
67,1/2016,0.0,142.77055,2.922764539718628,4.2225,21.088099264691877,25.381466,-0.000852093,-0.14277056,35.2975
68,1/2016,0.0,136.81303,2.7928136587142944,4.04,21.086259946141016,25.28222,-0.00081653683,-0.13681303,37.44
69,1/2016,0.0,145.43005,2.9472159147262573,3.8575,21.084244683912818,25.441742,-0.0008679656,-0.14543006,37.4325
70,1/2016,0.0,149.64172,3.0139415860176086,3.675,21.082151293510243,25.527214,-0.0008931019,-0.14964172,37.425
71,1/2016,0.0,139.3113,2.8017979860305786,3.4925,21.0798302428076,25.347826,-0.0008314472,-0.1393113,37.4175
72,1/2016,0.0,155.61572,3.099935531616211,3.31,21.077318726204776,25.637302,-0.0009287563,-0.15561572,37.41
73,1/2016,0.0,164.69121,3.256731390953064,3.1575,21.074941602335638,25.813128,-0.0009829213,-0.16469121,36.8925
74,1/2016,0.0,156.51671,3.0897170305252075,3.005,21.07261163292418,25.68728,-0.00093413366,-0.1565167,36.375
75,1/2016,0.0,170.18729,3.3308985829353333,2.8525,21.070326102857532,25.934662,-0.0010157233,-0.17018728,35.8575
76,1/2016,0.0,170.10075,3.31452476978302,2.7,21.06815887357706,25.951323,-0.0010152069,-0.17010075,35.34
77,1/2016,0.0,169.01038,3.280230939388275,2.545,21.06600114954808,25.945105,-0.0010086992,-0.16901037,34.7725
78,1/2016,0.0,171.18465,3.3062742948532104,2.39,21.063794412347725,25.990288,-0.0010216759,-0.17118464,34.205
79,1/2016,0.0,176.23969,3.3841779828071594,2.2350000000000003,21.061558315860513,26.08412,-0.0010518457,-0.17623968,33.6375
80,1/2016,0.0,182.12271,3.4755306243896484,2.08,21.0593492471826,26.19388,-0.0010869572,-0.1821227,33.07
81,1/2016,0.0,190.94328,3.617475986480713,1.9275,21.057262832560525,26.355717,-0.0011396008,-0.19094329,32.1825
82,1/2016,0.0,187.62993,3.542703151702881,1.775,21.055264401490206,26.317228,-0.0011198256,-0.18762992,31.295
83,1/2016,0.0,191.17317,3.5902329683303833,1.6225,21.05327453788235,26.385551,-0.0011409727,-0.19117317,30.4075
84,1/2016,0.0,201.39651,3.75342857837677,1.47,21.05137332082995,26.564873,-0.0012019883,-0.20139651,29.52
85,1/2016,0.0,202.60422,3.7690524458885193,1.4525,21.049965561857977,26.61202,-0.0012091963,-0.20260422,29.665
86,1/2016,0.0,204.14867,3.79083251953125,1.435,21.048996526885713,26.661827,-0.0012184139,-0.20414867,29.810000000000002
87,1/2016,0.0,200.19183,3.7176536321640015,1.4175,21.048361485078093,26.618496,-0.0011947986,-0.20019184,29.955000000000002
88,1/2016,0.0,194.1897,3.6098170280456543,1.4,21.047891944478767,26.53292,-0.0011589762,-0.1941897,30.1
89,1/2016,0.0,199.9254,3.707149028778076,1.3824999999999998,21.047556471965244,26.633152,-0.0011932084,-0.1999254,28.7175
90,1/2016,0.0,196.50972,3.644851326942444,1.365,21.047346943798424,26.587013,-0.0011728227,-0.19650972,27.335
91,1/2016,0.0,195.03174,3.616894483566284,1.3475000000000001,21.047183560121255,26.56725,-0.0011640016,-0.19503173,25.9525
92,1/2016,0.0,198.8058,3.6804537177085876,1.33,21.047078007956664,26.632,-0.0011865263,-0.1988058,24.57
93,1/2016,0.0,189.61754,3.5180237889289856,1.31,21.046941530890038,26.4848,-0.0011316884,-0.18961754,23.9775
94,1/2016,0.0,192.36919,3.5649443864822388,1.29,21.046705373958233,26.524578,-0.001148111,-0.1923692,23.384999999999998
95,1/2016,0.0,207.1251,3.81850004196167,1.27,21.046569567451602,26.766218,-0.0012361782,-0.20712511,22.7925
96,1/2016,0.0,200.39035,3.6986830830574036,1.25,21.046585767859728,26.669832,-0.0011959834,-0.20039035,22.2
97,1/2016,0.0,188.79468,3.5075043439865112,1.385,21.046946435058477,26.493773,-0.0011267773,-0.18879467,20.7925
98,1/2016,0.0,201.36967,3.7387025356292725,1.52,21.04768413669841,26.706549,-0.0012018282,-0.20136967,19.384999999999998
99,1/2016,0.0,199.75522,3.720897674560547,1.655,21.04891669780374,26.69967,-0.0011921927,-0.19975522,17.9775
100,1/2016,0.0,196.46078,3.6738088130950928,1.79,21.050577155929503,26.662243,-0.0011725306,-0.19646078,16.57
101,1/2016,0.0,187.91922,3.534088611602783,1.925,21.052530747734448,26.531847,-0.0011215522,-0.18791921,16.265
102,1/2016,0.0,180.53206,3.414458155632019,2.06,21.054620259867196,26.409966,-0.0010774637,-0.18053205,15.96
103,1/2016,0.0,188.53117,3.569345712661743,2.1950000000000003,21.05690145020421,26.542944,-0.0011252046,-0.18853118,15.655
